family,s_regime,gamma2,n,bound_ok_all,slack_min,slack_max,slack_med,edge_capture_med,edge_valid_all,delta_med
Gaussian,s<=1,0.0,9,True,,,,,True,0.0
Gaussian,s>1,0.0,4,True,,,,,True,0.0
Laplace,s<=1,3.0,9,True,0.036300627179832005,0.6242794152671034,0.5238019837975968,0.8101780722499212,True,-0.07616714548792858
Laplace,s>1,3.0,4,True,0.004129347210445546,0.17983098267408196,0.11762844908724117,0.410123145850093,True,0.01710459958587962
ZI0.05,s<=1,57.0,9,True,0.0433455116011945,0.7949660025321775,0.5216575426047373,-1.7700682960435739,False,-0.40649828801225046
ZI0.05,s>1,57.0,4,True,0.03799717706074752,0.10135564623195008,0.07769851559179355,-4.139718691804383,True,0.06054606900046078
ZI0.1,s<=1,27.0,9,True,0.002527853829753018,0.7635862626927715,0.4822884135876003,-0.06944390263551936,False,-0.34458807574159045
ZI0.1,s>1,27.0,4,True,0.02150596653940724,0.11781535526131448,0.09016812272783235,-1.1620968098206075,True,0.06442381576801404
ZI0.2,s<=1,12.0,9,True,0.03508159865701421,0.737046217533403,0.44055814706385876,0.6249967970693682,True,-0.2636367382490813
ZI0.2,s>1,12.0,4,True,0.006588299940847892,0.1263609637876812,0.09211865008299033,-0.06599085091685447,True,0.055125210149088
ZI0.5,s<=1,3.0,9,True,0.03579583492338776,0.7141824059129145,0.3811109460806193,0.4746449210405944,True,-0.1247072360486624
ZI0.5,s>1,3.0,4,True,0.00021898136954653905,0.14124635016965084,0.06285015446298572,0.827550710020238,True,0.020565846058518744
gamma2m,s<=1,3.0,9,True,0.021070542043261323,0.37718329119456334,0.14288631663683335,-1.0865855706782273,True,0.012391831312065782
gamma2m,s>1,3.0,4,True,0.007957614527396042,0.361840240837324,0.18167571674025088,0.43477507425633216,True,0.04108449887968946
gamma2p,s<=1,3.0,9,True,0.1428863166368333,0.6122595676932147,0.3484120015540935,0.271434995773566,True,-0.07879056565377585
gamma2p,s>1,3.0,4,True,4.7281126261285945e-07,0.2591893734801234,0.03923580515316926,-1.3918146651675012,True,-0.008872861061359205
gamma8m,s<=1,0.75,9,True,0.009278924639131533,0.4385969611836507,0.12563938244283215,0.008964202648359176,True,0.014312741963032782
gamma8m,s>1,0.75,4,True,0.001544482507123484,0.3898179924355375,0.16231288259356624,0.7269159461137447,True,0.018490558936763435
gamma8p,s<=1,0.75,9,True,0.07254169658247332,0.5529740371098616,0.27468245556222826,0.5478226951301037,True,-0.031291614395058565
gamma8p,s>1,0.75,4,True,9.385887552291093e-07,0.37257824782829435,0.07497021859599247,0.8197807087589626,True,-0.008540549729021851
t12,s<=1,0.75,9,True,0.02057651500040661,0.5561305579627362,0.5061687661852328,0.7329120178300504,True,-0.017900872930756262
t12,s>1,0.75,4,True,0.002410050523657541,0.2106767040678666,0.1327848229165736,0.5836953948242474,True,0.004695991536729283
t20,s<=1,0.375,9,True,0.011633031287723649,0.5439026567052433,0.4947035116550429,0.866944543098266,True,-0.010004556408705012
t20,s>1,0.375,4,True,0.0007758802077847978,0.21309115979576623,0.13236058873130385,0.7965135209666707,True,0.002676772945923833
t4.5,s<=1,12.0,9,True,0.07182986564413253,0.6303227151061805,0.5751782625761073,-3.3490122551644292,True,-0.06776977546699003
t4.5,s>1,12.0,4,True,0.021609076669391537,0.18371268069446572,0.12161054309293373,-3.232996818813353,True,0.01432863467912493
t5,s<=1,6.0,9,True,0.061787881141731074,0.6152984113845797,0.5612881136415714,-1.1649194456772873,True,-0.0572686549728435
t5,s>1,6.0,4,True,0.017631677122654753,0.1902538020396812,0.12533503334395274,-1.0810586304445264,True,0.012788029188817385
t50,s<=1,0.13043478260869565,9,True,0.004418747383165811,0.5342297134049997,0.4856172238526456,0.9538544191433292,True,-0.0037674116099549737
t50,s>1,0.13043478260869565,4,True,0.00017333327598764934,0.2142442911379297,0.13145914802615466,0.9304404504525657,True,0.0010198582261546907
t6,s<=1,3.0,9,True,0.048181309492261244,0.5953001045438729,0.5427288620778256,-0.0759035947472464,True,-0.04365585189263188
t6,s>1,3.0,4,True,0.012027308349786972,0.19829749169135902,0.1293171096481467,-0.26472285620404934,True,0.010401968607988255
t8,s<=1,1.5,9,True,0.03334454928049112,0.5739973857765291,0.5228777975516669,0.4629877391534072,True,-0.02953181355990042
t8,s>1,1.5,4,True,0.006259648709276713,0.20573373622867897,0.13203112092910155,0.14095963763273262,True,0.007457035784728672
