AD_eval,AD_full,KS_eval,KS_full,bias_MC,bias_NN,cls,d_true,degen,gap_nnmc,gap_nntr,id_ok,k,k_MC,k_NN,k_true,kurt_obs,kurt_pred,pair,part,payoff,pg_hi,pg_lo,pred_gap,pred_gap_full,r_naive,r_naive_full,r_strat,r_strat_full,rn_hi,rn_lo,rs_hi,rs_lo,sMC,sMC_e,sMC_f,sNN,sNN_e,sNN_f,skew_obs,skew_pred,spool_e,strad_eval
,,,,-0.032737531934840705,-0.7745803429974296,heston,-0.00032995158206299615,,,,,,,,,,,A,1,price,,,,,,,,,,,,,-0.06150327947686812,,,-8.31405445845037,,,,,,
,,,,-0.024501971938809035,-0.8064701006593559,heston,-0.00012828720016974687,,,,,,,,,,,A,1,delta,,,,,,,,,,,,,-0.028686747318407566,,,-3.050839672740833,,,,,,
,,,,-0.02625086306658557,-0.48915932970696846,heston,-7.1796179759573e-05,,,,,,,,,,,A,1,digital,,,,,,,,,,,,,-0.02981897381981588,,,-2.4772225501641225,,,,,,
,,,,-0.022248471511279046,-0.8523808300188745,heston,-0.0016421740919256723,,,,,,,,,,,B,1,price,,,,,,,,,,,,,-0.17550297522451627,,,-8.667825167787575,,,,,,
,,,,-0.07397738902700848,-0.8637084864190147,heston,-0.0006380935266376316,,,,,,,,,,,B,1,delta,,,,,,,,,,,,,-0.09859743662054085,,,-3.1103592021781314,,,,,,
,,,,-0.05656483967103238,-0.5384809486910623,heston,-0.000344672093552281,,,,,,,,,,,B,1,digital,,,,,,,,,,,,,-0.07685953998783863,,,-2.4984891072262454,,,,,,
,,,,0.01273610740681595,-0.9242563780430014,heston,-0.003265751445223251,,,,,,,,,,,C,1,price,,,,,,,,,,,,,-0.275900130693476,,,-8.882166352290366,,,,,,
,,,,-0.02750587388911713,-0.9428801914373569,heston,-0.0012681295069993156,,,,,,,,,,,C,1,delta,,,,,,,,,,,,,-0.07104101137383974,,,-3.2163686598636554,,,,,,
,,,,-0.013589931649253413,-0.6116280796046187,heston,-0.0006549933117091207,,,,,,,,,,,C,1,digital,,,,,,,,,,,,,-0.04733797494126416,,,-2.556295119668783,,,,,,
,,,,-0.05900742723892885,-0.968706492774521,heston,-0.00958505996244208,,,,,,,,,,,D,1,price,,,,,,,,,,,,,-0.9559239617692435,,,-9.710936631447753,,,,,,
,,,,0.018861149739414385,-0.9488321629576035,heston,-0.0037161110720985756,,,,,,,,,,,D,1,delta,,,,,,,,,,,,,-0.11271785010949115,,,-3.372679029552373,,,,,,
,,,,0.0630459822230807,-0.6163683616935384,heston,-0.0015949364298230239,,,,,,,,,,,D,1,digital,,,,,,,,,,,,,-0.024947943923227436,,,-2.44926482993831,,,,,,
,,,,0.059506248253047116,-0.7544809238140731,kou,-0.0002777814421048228,,,,,,,,,,,A,1,price,,,,,,,,,,,,,0.04216578519871349,,,-4.457247745300359,,,,,,
,,,,0.05480547000859414,-0.38061448304714257,kou,-0.00016231676234952278,,,,,,,,,,,A,1,delta,,,,,,,,,,,,,0.04977492971529391,,,-2.079554078275145,,,,,,
,,,,0.05265916759140864,0.13376012135744508,kou,-3.852231310499999e-05,,,,,,,,,,,A,1,digital,,,,,,,,,,,,,0.05061668102694662,,,-0.8179694239169045,,,,,,
,,,,-0.022500978635444875,-0.7590526677321798,kou,-0.0013928656015801595,,,,,,,,,,,B,1,price,,,,,,,,,,,,,-0.1129402943196571,,,-4.599966008253305,,,,,,
,,,,-0.02156258787760033,-0.3696769176251259,kou,-0.0008121826224300741,,,,,,,,,,,B,1,delta,,,,,,,,,,,,,-0.048303287838137365,,,-2.103850880921245,,,,,,
,,,,-0.010576692896107182,0.15749913392903042,kou,-0.00018575824535328842,,,,,,,,,,,B,1,digital,,,,,,,,,,,,,-0.021237697662761235,,,-0.7866957555591246,,,,,,
,,,,-0.019342803701788435,-0.7997475295667049,kou,-0.0027954269045151327,,,,,,,,,,,C,1,price,,,,,,,,,,,,,-0.18943011653831288,,,-4.929430395204886,,,,,,
,,,,0.009676319594102829,-0.39002196762195457,kou,-0.0016258226549457728,,,,,,,,,,,C,1,delta,,,,,,,,,,,,,-0.040962583529562994,,,-2.2194438328143495,,,,,,
,,,,0.03245370985393162,0.15444686590756435,kou,-0.0003545298956331514,,,,,,,,,,,C,1,digital,,,,,,,,,,,,,0.013769775747808466,,,-0.7899597097346154,,,,,,
,,,,-0.023941924485315364,-0.8239496741244389,kou,-0.008497535986329513,,,,,,,,,,,D,1,price,,,,,,,,,,,,,-0.49381881177446313,,,-5.967530794340315,,,,,,
,,,,0.03466635013892833,-0.34071110630512846,kou,-0.004894457616390122,,,,,,,,,,,D,1,delta,,,,,,,,,,,,,-0.10508439331971345,,,-2.581212761015891,,,,,,
,,,,0.06993581261710577,0.32242913543824603,kou,-0.0008648905919134127,,,,,,,,,,,D,1,digital,,,,,,,,,,,,,0.025643478780895707,,,-0.6160125440143215,,,,,,
,,,,,,heston,,,0.1325336917716427,0.00033300862766164063,,,-0.0504616398515188,0.0820720519201239,0.08240506054778554,,,A,1z,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,heston,,,0.19948095375602246,0.00036439036660744495,,,-0.117397460163475,0.08208349359254745,0.0824478839591549,,,B,1z,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,heston,,,0.03093036565511833,0.00040864071064776464,,,0.05116161560975097,0.0820919812648693,0.08250062197551707,,,C,1z,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,heston,,,0.0013260124486759173,0.00039338158384386035,,,0.0836360869570426,0.08231007450836668,0.08270345609221054,,,D,1z,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kou,,,0.689871832388739,0.0003534973720367568,,,0.7686275781093531,0.07875574572061411,0.07840224834857736,,,A,1z,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kou,,,0.03265643085297083,0.00037507637105137215,,,0.046171578726171114,0.07882800957914195,0.07845293320809058,,,B,1z,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kou,,,0.0304277908583529,0.00035135497471730504,,,0.10929534046499646,0.07886754960664356,0.07851619463192626,,,C,1z,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kou,,,0.029485751041463282,0.0004808516855488998,,,0.10873486447016516,0.07924911342870188,0.07876826174315298,,,D,1z,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,1,,,heston,,0,,,1,0.05200000000000138,,,,4.022357620155004,5.9747631487137065,A,3A,,0.7270796259103204,0.7245365254117322,0.727041368855641,0.7142200340147178,0.7432166422386618,0.7453953587922162,1.0222480784119348,1.043649468360973,0.7807369267839254,0.7250245873791895,1.0685230275525688,1.0040957418266363,,0.09238509161629624,-0.04027073518746384,,0.4552594656701931,0.22914447298859988,-0.14124775579135898,0.1937660402050339,0.06729492091430625,0
1,1,0,1,,,heston,,0,,,1,0.05400000000000138,,,,4.022357620155004,5.9747631487137065,A,3A,,0.7269730625618056,0.724588968394438,0.727041368855641,0.7142200340147178,0.7432166422386618,0.7453953587922162,1.0222480784119348,1.043649468360973,0.7774777130675066,0.7301294988293789,1.0743196954874565,0.9991686682098779,,0.09238509161629624,-0.04027073518746384,,0.4552594656701931,0.22914447298859988,-0.14124775579135898,0.1937660402050339,0.06729492091430625,0
1,1,0,1,,,heston,,0,,,1,0.05600000000000138,,,,4.022357620155004,5.9747631487137065,A,3A,,0.7270468040308546,0.7246555874039584,0.727041368855641,0.7142200340147178,0.7432166422386618,0.7453953587922162,1.0222480784119348,1.043649468360973,0.7752249421557162,0.7240529150841146,1.0684250094631316,1.0013212729968552,,0.09238509161629624,-0.04027073518746384,,0.4552594656701931,0.22914447298859988,-0.14124775579135898,0.1937660402050339,0.06729492091430625,0
1,1,0,1,,,heston,,0,,,1,0.058000000000001384,,,,4.022357620155004,5.9747631487137065,A,3A,,0.7270248407429357,0.7245098069353061,0.727041368855641,0.7142200340147178,0.7432166422386618,0.7453953587922162,1.0222480784119348,1.043649468360973,0.7823678721152928,0.7297813202457948,1.0711003742236036,1.007031010490282,,0.09238509161629624,-0.04027073518746384,,0.4552594656701931,0.22914447298859988,-0.14124775579135898,0.1937660402050339,0.06729492091430625,0
1,1,1,1,,,heston,,0,,,1,0.05200000000000138,,,,5.323504304601849,5.781119840405011,B,3A,,0.7314645552188521,0.7280216867689013,0.729237190130434,0.7197316843201896,0.7177111392989609,0.6915944021995636,0.9841943732608982,0.9609058726555819,0.786377752612736,0.7038840757687489,1.0744396966098682,0.9728704276358305,,0.2779361989044193,0.05942857460880107,,0.34240747721833137,0.20376601909538514,1.4760700202190677,0.5530859871060867,0.19932218779370953,0
1,1,1,1,,,heston,,0,,,1,0.05400000000000138,,,,5.323504304601849,5.781119840405011,B,3A,,0.7311490137051713,0.7276498033938233,0.729237190130434,0.7197316843201896,0.7177111392989609,0.6915944021995636,0.9841943732608982,0.9609058726555819,0.7878667594144426,0.709407686370041,1.0632020244319582,0.9785835657440769,,0.2779361989044193,0.05942857460880107,,0.34240747721833137,0.20376601909538514,1.4760700202190677,0.5530859871060867,0.19932218779370953,0
1,1,1,1,,,heston,,0,,,1,0.05600000000000138,,,,5.323504304601849,5.781119840405011,B,3A,,0.7312197609983377,0.7277700030175674,0.729237190130434,0.7197316843201896,0.7177111392989609,0.6915944021995636,0.9841943732608982,0.9609058726555819,0.7742991658824211,0.693087956619676,1.0694081027453324,0.9674621636244944,,0.2779361989044193,0.05942857460880107,,0.34240747721833137,0.20376601909538514,1.4760700202190677,0.5530859871060867,0.19932218779370953,0
1,1,1,1,,,heston,,0,,,1,0.058000000000001384,,,,5.323504304601849,5.781119840405011,B,3A,,0.7312372210177038,0.7277152288646885,0.729237190130434,0.7197316843201896,0.7177111392989609,0.6915944021995636,0.9841943732608982,0.9609058726555819,0.7845269823185054,0.7084281848094596,1.0868257644138573,0.9738690181364945,,0.2779361989044193,0.05942857460880107,,0.34240747721833137,0.20376601909538514,1.4760700202190677,0.5530859871060867,0.19932218779370953,0
