model,pair,payoff,s,MR_theory,MR_emp,ratio,KS_p,KS_rej,AD_rej,sig2_le1,sig2_1to2,sig2_2to3,sig2_gt3,n_seed
heston,A,price_ATMcall,-8.230549755763885,0.00036073063346522263,0.0003607306334652214,0.9999999999999966,0.6017241617323735,0,0,0.9557844494715906,0.04324132611374865,0.00015561442651014103,0.0008186099881506678,200
heston,A,delta_ATM,-2.922389473055665,0.0001699159707005708,0.00016995952155207008,1.000256308169972,0.8754406601982867,0,0,0.9651483910009414,0.03450293275805526,-2.2962558169205132e-05,0.0003716387991723496,200
heston,A,gamma_ATM,7.624936411092559,0.0026291251182555273,0.0026291251182556153,1.0000000000000335,0.7760667777745478,0,0,0.0,0.0,0.0,0.0,200
heston,A,gamma_OTM110,7.75839811582111,0.0027620473504066387,0.0027620473504066465,1.0000000000000029,0.9842868670937608,0,0,1.0,0.0,0.0,0.0,200
heston,A,digital_ATM,5.661185154089544,0.00019087294375359098,0.00019087294366893236,0.9999999995564661,0.7889637397122718,0,0,1.0018527879970602,-0.0018136460973022135,-3.2600412783030914e-05,-6.541486975037672e-06,200
heston,A,digital_OTM110,-2.345880818156983,8.715017500421842e-05,8.694623105539013e-05,0.9976598561182646,0.5070303093848949,0,0,0.9849043368669589,0.015099867289072172,-9.795520662338712e-06,5.591364631533629e-06,200
heston,A,barrier_uo130,9.186156807206041,8.157340039285171e-05,8.157340039285074e-05,0.999999999999988,0.9416437549400313,0,0,1.0,0.0,0.0,0.0,200
heston,B,price_ATMcall,-8.57659152254914,0.0018100847397432955,0.0018100847397432937,0.999999999999999,0.9811307590769472,0,0,0.9546760999018928,0.044238083954502,0.0001741862714624052,0.0009116298721426545,200
heston,B,delta_ATM,-2.978014597187912,0.000865737564949827,0.0008657944241331622,1.0000656771585723,0.7663523099454059,0,0,0.9652170029498623,0.03442369201043568,-1.9119365299915355e-05,0.0003784244050018587,200
heston,B,gamma_ATM,8.00404882380658,0.013043582141399446,0.013043582141399383,0.9999999999999952,0.8736392651632278,0,0,0.0,0.0,0.0,0.0,200
heston,B,gamma_OTM110,8.153467928480962,0.01367133975028989,0.013671339750289916,1.000000000000002,0.8718033044106308,0,0,1.0,0.0,0.0,0.0,200
heston,B,digital_ATM,5.574716766216862,0.0009445871928704656,0.000944587192159019,0.9999999992468175,0.8754660743138897,0,0,1.000122219864561,-8.384537703924957e-05,-3.161526682679235e-05,-6.759220694772039e-06,200
heston,B,digital_OTM110,-2.360641910621587,0.00043134763377277645,0.00043040732285170414,0.9978200624103397,0.9915172470942877,0,0,0.9853185949652087,0.014686035967194951,-1.060378235543792e-05,5.97284995196026e-06,200
heston,B,barrier_uo130,9.615471955501496,0.0004049255639202692,0.00040492556392026833,0.9999999999999979,0.9799421640292236,0,0,1.0,0.0,0.0,0.0,200
heston,C,price_ATMcall,-8.815305297635286,0.0036168236831919257,0.0036168236831919266,1.0000000000000002,0.9657624519244967,0,0,0.9513490925769474,0.04765207666393312,0.00020176557875125467,0.0007970651803681581,200
heston,C,delta_ATM,-3.139331163730058,0.0017504717106559518,0.0017502134501323399,0.9998524623265604,0.9968257093656581,0,0,0.9607945060031211,0.03879450940430209,2.298991592432799e-05,0.0003879946766527479,200
heston,C,gamma_ATM,8.215774443113512,0.02574245929718022,0.025742459297180175,0.9999999999999982,0.8588314087984802,0,0,0.0,0.0,0.0,0.0,200
heston,C,gamma_OTM110,8.347691158446152,0.02689447999000549,0.026894479990005493,1.0000000000000002,0.9591671370358925,0,0,1.0,0.0,0.0,0.0,200
heston,C,digital_ATM,5.7381802324207944,0.0018666102335732784,0.0018666102330595858,0.9999999997247992,0.9884334953201978,0,0,0.9994473650629406,0.0005815535762704017,-2.5467114541330314e-05,-3.4515246697365645e-06,200
heston,C,digital_OTM110,-2.457314527823166,0.0008406079094530738,0.0008390469769534581,0.9981430908726148,0.9828354400524729,0,0,0.9837766193570924,0.01622564961476479,-7.803383606431564e-06,5.534411749360827e-06,200
