oob,payoff,s,ratio,KS_p,KS_rej,AD_rej,skew,kurt,brel_OOB,Delta_true,n_seed
oob_xi0.7,price_ATMcall,7.296069964808708,0.9999999999999948,0.7608628436601864,0,0,0.1134590979639408,2.136743582407203,0.32025877734106856,0.009491910338042324,50
oob_xi0.7,delta_ATM,-7.413869715261053,0.9999999999999979,0.8211556484162232,0,0,0.1226943752911219,3.526518465661982,0.18197980465795066,-0.02959887712243455,50
oob_xi0.7,digital_OTM110,-6.380387674508599,0.9999999999958518,0.4632576755899913,0,0,0.15694747870297032,3.3541482335481643,0.15100432796375918,-0.017837329358430926,50
oob_xi1.2,price_ATMcall,9.557290874260831,1.0,0.9985886167082634,0,0,0.07908837629888787,3.0222207173594677,0.25629640821979777,0.02354286660629295,50
oob_xi1.2,delta_ATM,-3.1539720541504295,0.9998608120645374,0.9749943143052813,0,0,-0.2802027375559722,2.7153638676768868,0.28744818483021606,-0.05265704176742938,50
oob_xi1.2,digital_OTM110,-1.352083123427309,1.0095220866903898,0.829980855638049,0,0,0.22373558974758742,2.839580834366672,0.16031130215608277,-0.012413213740570488,50
