AD_rej,Delta_true,J,J_frac,KS_p,KS_rej,MR_emp,MR_theory,S,boot_q25,boot_q75,degenerate,kind,model,mu,pair,payoff,ratio,s,seedset,sigma
0,-0.00032995158206299615,3.9927952409911075e-21,1.6989735176571562e-16,0.42356567261895073,0,0.0003534528032385744,0.0003534528032385744,2.3501221175578277e-05,0.9999999999999999,1.0,0,std,heston,-0.0003534528032385744,A,price_ATMcall,1.0,-8.061162342911908,eval,4.3846381973607265e-05
0,-0.00032995158206299615,1.1514949110251149e-21,3.741164391251724e-17,0.6017241617323735,0,0.0003607306334652214,0.0003607306334652214,3.0779051402225234e-05,1.0,1.0,0,std,heston,-0.0003607306334652214,A,price_ATMcall,1.0,-8.209947596403643,insample,4.3938238244448595e-05
0,-0.00012828720016974687,1.457953721987411e-07,0.00467993390206279,0.9153435402551614,0,0.00015963414128421807,0.00015944049747047977,3.100750192853416e-05,0.9998223974448448,1.0017537925088975,0,std,heston,-0.00015929470209828103,A,delta_ATM,1.0012145208827774,-2.657747355895682,eval,5.993598366109462e-05
0,-0.00012828720016974687,5.992525413181328e-08,0.0014394584897502996,0.8754406601982867,0,0.00016995952155207008,0.0001699176150504208,4.157048962654211e-05,0.9998521834041308,1.0005675991383662,0,std,heston,-0.00016985768979628897,A,delta_ATM,1.0002466283536102,-2.9150743440031133,insample,5.8268733401506536e-05
0,-7.1796179759573e-05,5.484895233283546e-07,0.056432326259095444,0.8047262942222269,0,8.107727286163369e-05,8.151560051869778e-05,9.170931235796424e-06,0.992765965850109,0.9971436335973994,0,std,heston,-8.096711099536943e-05,A,digital_OTM110,0.9946227758333995,-2.07058118805107,eval,3.9103567376452185e-05
0,-7.1796179759573e-05,2.417600170939825e-07,0.01574085237082388,0.5070303093848949,0,8.694623105539013e-05,8.715494251260483e-05,1.5117002735937844e-05,0.9966674237676442,0.9980638011564111,0,std,heston,-8.691318249551085e-05,A,digital_OTM110,0.9976052826013336,-2.3400087668493015,insample,3.7142246527791804e-05
0,3.1737105663071593e-09,1.0680167925602895e-07,0.7922528079969793,0.8260859167776009,0,1.3824901011855673e-07,1.3798128483802393e-07,2.800589501568783e-08,0.9836472648383484,1.020157795388526,0,scan,heston,3.117960558199499e-08,A,digit_k=-3.000,1.0019403014028105,0.18331889996681133,eval,1.7008396617937295e-07
0,3.1737105663071593e-09,1.0039433848636603e-07,0.7619005585228575,0.955360072681624,0,1.3568933682085968e-07,1.3494200678728196e-07,3.137395773460876e-08,0.9965568357034765,1.0182292728284064,0,scan,heston,3.454766830091592e-08,A,digit_k=-3.000,1.00553815710445,0.20870613087940618,insample,1.6553259913997508e-07
0,1.1881893752614271e-08,7.990333375181652e-08,0.6002632698037044,0.7944222928093447,0,1.4382799170830425e-07,1.4499570859246972e-07,5.321048108803896e-08,0.9797533428204888,1.0180763711319525,0,scan,heston,6.509237484065323e-08,A,digit_k=-2.850,0.9919465417597462,0.38432370891708917,eval,1.6936861643031169e-07
0,1.1881893752614271e-08,7.446279263313767e-08,0.5656364311616929,0.8895112768115379,0,1.4288669668327568e-07,1.435261594520627e-07,5.718147306631075e-08,0.9788436317869248,1.0049270496793299,0,scan,heston,6.906336681892502e-08,A,digit_k=-2.850,0.9955446256541087,0.4168101501402114,insample,1.6569502157203393e-07
