AD_rej,FN,J,JJS,KS_rej,MR_emp,S,a2,b_delta,burn,d_true,degen,ident_resid,key,kurt,mode,mrrat,mu,part,ratio,ratioCRN,ratioIND,ratio_hi,ratio_lo,rho_CRN,rho_IND,s,sigma,sigrat,skew
1,0.022283904259846988,7.658496147838756e-06,0.07451538192221938,1,0.02227624576369915,-9.511888954459244e-05,0.702,9.511888954459244e-05,,-0.02237136465324374,0,0.0,EN,8.740897168978456,CRN,,-0.02227624576369915,2,0.9996563216185756,,,0.9998702523596324,0.9995002705805446,,,-2.9218689425716384,0.007623971574882839,,-1.8699813731387953
1,0.0008272884956663737,1.3685141248386836e-05,0.7771221746629413,1,0.0008136033544179869,-3.924884169202681e-06,0.702,3.924884169202681e-06,,-0.0008175282385871896,0,0.0,SLA10,16.609591702802422,CRN,,-0.0008136033544179869,2,0.9834578368730202,,,0.9910815800673927,0.9759742670692706,,,-1.7808713715681335,0.0004568568889405945,,-2.753545595594271
1,6.100770029145511e-05,2.8897795187803602e-05,0.662147402235542,1,3.2109905103651506e-05,-1.4744745869125516e-05,0.702,1.4744745869125516e-05,,-4.685465097277702e-05,0,0.0,SLA20,27.533467026829474,CRN,,-3.2109905103651506e-05,2,0.5263254466280693,,,0.5733155293223511,0.5094191116518254,,,-0.46444278154899843,6.913640684985849e-05,,-4.250821759705994
1,0.009366903682521677,4.750400314388996e-05,0.26911505883066583,1,0.009319399679377787,-0.00012901530183406264,0.702,0.00012901530183406264,,-0.00944841498121185,0,0.0,over5,22.326531399987324,CRN,,-0.009319399679377787,2,0.9949285265703617,,,0.9986277606146121,0.9918434455926077,,,-2.1581782546712533,0.004318178843293634,,-3.1904107099026353
0,0.199652487153192,0.16831340936960598,0.949415295865216,0,0.20116422205743242,0.008967713130342288,0.702,-0.008967713130342288,,-0.02237136465324374,0,0.0,EN,2.8394623490732527,IND,,-0.03133907778358603,2,1.0075718310640451,,,1.0193362958080536,0.9987270946212099,,,-0.1262390760561258,0.24825179938462713,,0.10678668794276774
0,0.011025425662979748,0.00999109180717272,0.9787609917884006,0,0.011125883794058784,0.00021680561721983886,0.702,-0.00021680561721983886,,-0.0008175282385871896,0,0.0,SLA10,2.659310736742872,IND,,-0.0010343338558070285,2,1.0091114968391965,,,1.0239486174295211,0.9957690135967696,,,-0.07506312723748557,0.013779519903755026,,0.15864488457511347
1,0.0017662959467383203,0.0015787261039564456,0.9181622587781065,1,0.0011452320296926582,0.00014071519180909768,0.702,-0.00014071519180909768,,-4.685465097277702e-05,0,0.0,SLA20,9.453614386519055,IND,,-0.0001875698427818747,2,0.6483806022470175,,,0.6758963477289393,0.6325768288607447,,,-0.08503663593081083,0.002205753328888609,,0.11771798188586183
1,0.11250882112765646,0.09894518989067502,0.9600698618446929,0,0.11367992678428136,0.0041152162557695875,0.702,-0.0041152162557695875,,-0.00944841498121185,0,0.0,over5,2.9419975826510876,IND,,-0.013563631236981438,2,1.01040901188802,,,1.0236124676661875,1.0014926399705673,,,-0.09663870874093586,0.14035401976802206,,0.18290705835807516
1,0.055274720670612607,4.929419657392908e-07,0.0004029145874593652,1,0.05527422772864687,-0.001222947412595772,0.705,0.001222947412595772,,-0.05649717514124264,0,0.0,EN,7.638463153702793,CRN,,-0.05527422772864687,2,0.9999910819636941,,,0.9999967189078306,0.999977871298308,,,-3.801042837449192,0.014541858666802175,,-1.6683077195491345
1,0.0020465262159483077,1.5935801203432933e-05,0.23051720545792637,1,0.002030590414744875,-5.31948355825553e-05,0.705,5.31948355825553e-05,,-0.00208378525032743,0,0.0,SLA10,9.150942031041762,CRN,,-0.002030590414744875,2,0.9922132435542494,,,0.9947608487260298,0.9900056991279433,,,-2.0247074223398935,0.001002905601243948,,-1.9773507195902709
