block,config_id,payoff,exp,pair,model,proto_pair,scenario,sigma_Delta,mu_Delta,Delta,b_Delta,s,J,S,J_plus_S,J_over_JplusS,J_fraction,theory_mr,empirical_mr,deviation_pct,sanity_abs_err,sanity_rel_err
Exp05_diag,Exp05dg-vrho_s1,ATM,exp05_diag,,heston,,,7.8e-05,-0.00044085,,,-5.651923076923077,2.0701392306128725e-13,,,,4.695790474340189e-10,0.00044085,0.00043462,1.413179085856875,2.0701392306128725e-13,2.0701392306128725e-13
Exp05_diag,Exp05dg-vrho_s1,OTM_K110,exp05_diag,,heston,,,7.6e-05,-0.00047017,,,-6.186447368421052,7.20806687726884e-15,,,,1.5330767333664077e-11,0.00047017,0.00046575,0.9400855009889963,7.20806687726884e-15,7.20806687726884e-15
Exp05_diag,Exp05dg-vrho_s1,OTM_K125,exp05_diag,,heston,,,6.6e-05,-0.00046061,,,-6.9789393939393936,2.7075223411952195e-17,,,,5.878123230488307e-14,0.00046061,0.00045825,0.512364038991775,2.7075223411952195e-17,2.7075223411952195e-17
Exp05_diag,Exp05dg-vrho_s2,ATM,exp05_diag,,heston,,,0.000159,-0.00088462,,,-5.563647798742139,7.126611082522758e-13,,,,8.056127017841286e-10,0.00088462,0.00087533,1.0501684339038198,7.126611082522758e-13,7.126611082522758e-13
Exp05_diag,Exp05dg-vrho_s2,OTM_K110,exp05_diag,,heston,,,0.000153,-0.00094286,,,-6.162483660130719,1.6947322179413036e-14,,,,1.7974378146716412e-11,0.00094286,0.00093693,0.6289374880682153,1.6947322179413036e-14,1.6947322179413036e-14
Exp05_diag,Exp05dg-vrho_s2,OTM_K125,exp05_diag,,heston,,,0.000134,-0.00092352,,,-6.891940298507463,1.0291414585814996e-16,,,,1.1143683499886299e-13,0.00092352,0.00092081,0.29344248094248515,1.0291414585814996e-16,1.0291414585814996e-16
Exp05_diag,Exp05dg-vrho_s4,ATM,exp05_diag,,heston,,,0.000294,-0.00177318,,,-6.031224489795918,7.546177237289922e-14,,,,4.255731080482479e-11,0.00177318,0.00173628,2.081007004365043,7.546177237289922e-14,7.546177237289922e-14
Exp05_diag,Exp05dg-vrho_s4,OTM_K110,exp05_diag,,heston,,,0.000284,-0.00188821,,,-6.6486267605633795,1.2120941467357085e-15,,,,6.419276175508595e-13,0.00188821,0.00185873,1.5612670200878087,1.2120941467357085e-15,1.2120941467357085e-15
Exp05_diag,Exp05dg-vrho_s4,OTM_K125,exp05_diag,,heston,,,0.000247,-0.00184929,,,-7.487004048582996,2.248246342273026e-18,,,,1.2157348724499813e-15,0.00184929,0.00182824,1.1382746892050433,2.248246342273026e-18,2.248246342273026e-18
Exp05_diag,Exp05dg-vrho_s8,ATM,exp05_diag,,heston,,,0.00054,-0.00350418,,,-6.489222222222222,6.873478923081396e-15,,,,1.961508519277376e-12,0.00350418,0.00340014,2.96902556375529,6.873478923081396e-15,6.873478923081396e-15
Exp05_diag,Exp05dg-vrho_s8,OTM_K110,exp05_diag,,heston,,,0.000521,-0.00373506,,,-7.169021113243763,5.294107460662836e-17,,,,1.4174089467539573e-14,0.00373506,0.00364579,2.390055313703132,5.294107460662836e-17,5.294107460662836e-17
Exp05_diag,Exp05dg-vrho_s8,OTM_K125,exp05_diag,,heston,,,0.000457,-0.00366608,,,-8.022056892778993,5.752793459638729e-20,,,,1.5691947419692776e-17,0.00366608,0.00359835,1.8474774145681438,5.752793459638729e-20,5.752793459638729e-20
Exp05_diag,Exp05dg-vrho_s16,ATM,exp05_diag,,heston,,,0.000909,-0.00675039,,,-7.4261716171617165,1.322673812419147e-17,,,,1.9594035491566367e-15,0.00675039,0.00661382,2.0231423665891923,1.322673812419147e-17,1.322673812419147e-17
Exp05_diag,Exp05dg-vrho_s16,OTM_K110,exp05_diag,,heston,,,0.000879,-0.00722432,,,-8.218794084186575,2.137721794108791e-20,,,,2.9590629901621063e-18,0.00722432,0.00711248,1.5481041814316088,2.137721794108791e-20,2.137721794108791e-20
Exp05_diag,Exp05dg-vrho_s16,OTM_K125,exp05_diag,,heston,,,0.000781,-0.00713342,,,-9.13370038412292,5.532130423218534e-24,,,,7.755228800797561e-22,0.00713342,0.00706098,1.0155016808206963,5.532130423218534e-24,5.532130423218534e-24
Exp05_diag,Exp05dg-all5_s1,ATM,exp05_diag,,heston,,,0.00014,-0.00101419,,,-7.244214285714287,8.112317076869903e-18,,,,7.998813907522162e-15,0.00101419,0.00101727,0.30369062996085106,8.112317076869903e-18,8.112317076869903e-18
Exp05_diag,Exp05dg-all5_s1,OTM_K110,exp05_diag,,heston,,,0.000135,-0.00103971,,,-7.701555555555554,2.282758439486591e-19,,,,2.1955722648494207e-16,0.00103971,0.0010464,0.643448653951606,2.282758439486591e-19,2.282758439486591e-19
Exp05_diag,Exp05dg-all5_s1,OTM_K125,exp05_diag,,heston,,,0.000116,-0.00096499,,,-8.318879310344828,1.2047853203860666e-21,,,,1.2484951350646811e-18,0.00096499,0.00097356,0.8880921045814061,1.2047853203860666e-21,1.2047853203860666e-21
Exp05_diag,Exp05dg-all5_s2,ATM,exp05_diag,,heston,,,0.000275,-0.00203352,,,-7.394618181818181,5.0966890885257466e-18,,,,2.5063383141182514e-15,0.00203352,0.0020318,0.08458239899289399,5.0966890885257466e-18,5.0966890885257466e-18
Exp05_diag,Exp05dg-all5_s2,OTM_K110,exp05_diag,,heston,,,0.000267,-0.0020845,,,-7.807116104868914,1.9402209293684993e-19,,,,9.307848066051807e-17,0.0020845,0.00208984,0.2561765411369654,1.9402209293684993e-19,1.9402209293684993e-19
Exp05_diag,Exp05dg-all5_s2,OTM_K125,exp05_diag,,heston,,,0.000232,-0.00193675,,,-8.348060344827587,1.876750265484338e-21,,,,9.690204029866208e-19,0.00193675,0.00194597,0.47605524719245285,1.876750265484338e-21,1.876750265484338e-21
Exp05_diag,Exp05dg-all5_s4,ATM,exp05_diag,,heston,,,0.000519,-0.00406479,,,-7.831965317919075,3.0866085023319426e-19,,,,7.593525132496248e-17,0.00406479,0.00398403,1.98681850722916,3.0866085023319426e-19,3.0866085023319426e-19
Exp05_diag,Exp05dg-all5_s4,OTM_K110,exp05_diag,,heston,,,0.000505,-0.00416872,,,-8.254891089108911,9.04635301769669e-21,,,,2.170055320985024e-18,0.00416872,0.00410371,1.5594714924485165,9.04635301769669e-21,9.04635301769669e-21
Exp05_diag,Exp05dg-all5_s4,OTM_K125,exp05_diag,,heston,,,0.000441,-0.00388181,,,-8.802290249433106,6.552953976220659e-23,,,,1.6881181655518067e-20,0.00388181,0.0038351,1.2033046439676287,6.552953976220659e-23,6.552953976220659e-23
Exp05_diag,Exp05dg-all5_s8,ATM,exp05_diag,,heston,,,0.000887,-0.00798966,,,-9.007508455467871,2.0274569413446065e-23,,,,2.537601026006872e-21,0.00798966,0.00779217,2.4718198271265646,2.0274569413446065e-23,2.0274569413446065e-23
Exp05_diag,Exp05dg-all5_s8,OTM_K110,exp05_diag,,heston,,,0.000853,-0.00821807,,,-9.634314185228604,4.967031257848039e-26,,,,6.044036200528883e-24,0.00821807,0.00804496,2.106455651996142,4.967031257848039e-26,4.967031257848039e-26
Exp05_diag,Exp05dg-all5_s8,OTM_K125,exp05_diag,,heston,,,0.000744,-0.00769846,,,-10.34739247311828,3.0368380376934796e-29,,,,3.944734450388103e-27,0.00769846,0.00756544,1.7278780431410956,3.0368380376934796e-29,3.0368380376934796e-29
Exp05_diag,Exp05dg-all5_s16,ATM,exp05_diag,,heston,,,0.001547,-0.01504841,,,-9.727478991596639,3.587816817604962e-26,,,,2.3841833240886992e-24,0.01504841,0.01501762,0.2046063338252968,3.587816817604962e-26,3.587816817604962e-26
