model,layer,k99_n,k99_median,k99_q25,k99_q75,k99_max,k99_censored_frac,k95_median,k95_q25,k95_q75,VR_k10_median,VR_k10_q25,VR_k10_q75
heston,A,68,50.0,20.0,50.0,300.0,0.0,5.0,5.0,12.5,0.9805,0.9492,0.9841
heston,B1,4,20.0,20.0,27.5,50.0,0.0,5.0,5.0,5.0,0.9856,0.9838,0.9858
kou,A,68,10.0,5.0,10.0,20.0,0.0,5.0,3.0,5.0,0.9975,0.9965,0.9998
kou,B1,4,10.0,10.0,10.0,10.0,0.0,5.0,4.5,5.0,0.9973,0.9972,0.9975
