AD_rej,Jfrac,KS_p,KS_rej,boot_q25,boot_q75,brel,degenerate,dv,kind,kurt,n,pair,payoff,ratio,s,skew
0,3.741164391251724e-17,0.6017241617323735,0,1.0,1.0,0.09328353939017855,0,0.001,std,2.841670984288708,200,A,price_ATMcall,1.0,-8.209947596403643,-0.0422308423321523
0,0.0014394584897502996,0.8754406601982867,0,0.9997582504318524,1.0003980668134143,0.3240423796882068,0,0.001,std,2.7185035496265937,200,A,delta_ATM,1.0002466283536102,-2.9150743440031133,0.03523297723719504
0,0.01574085237082388,0.5070303093848949,0,0.9965686145733829,0.9982862950789402,0.21055441649626497,0,0.001,std,2.7452098879302813,200,A,digital_OTM110,0.9976052826013336,-2.3400087668493015,-0.04966656780770237
0,1.6897730257502861e-18,0.9811307590769472,0,1.0,1.0,0.10224899335777694,0,0.005,std,2.93946075625332,200,B,price_ATMcall,1.0,-8.555123174679505,-0.04993395671789393
0,0.0010849852758329018,0.7663523099454059,0,0.9998601017850073,1.0002537379653613,0.3563803916722445,0,0.005,std,2.7331942609322875,200,B,delta_ATM,1.0000576134675667,-2.9705602310606096,0.015889764101706637
0,0.013130556128870286,0.9915172470942877,0,0.9969664482058309,0.9985929558691036,0.24823535140916392,0,0.005,std,2.7628453545083262,200,B,digital_OTM110,0.9977676615838946,-2.3547329103387167,-0.0972150491725489
0,1.8889645726421442e-19,0.9657624519244967,0,1.0,1.0,0.1075012118519252,0,0.01,std,3.012313773431261,200,C,price_ATMcall,1.0,-8.793239417476597,-0.08738133675929442
0,0.0005523916456129145,0.9968257093656581,0,0.9998119510064786,0.9999091793201176,0.38015355724491035,0,0.01,std,2.47178028856968,200,C,delta_ATM,0.9998477866978455,-3.131473000807916,0.0494702408347229
0,0.008589233954951387,0.9828354400524729,0,0.9972813758750634,0.9984920327070881,0.2810008315414291,0,0.01,std,2.4148563841977997,200,C,digital_OTM110,0.9981031437561373,-2.451163543137745,0.027159869865225828
0,5.208232552180981e-24,0.867841769954391,0,1.0,1.0,0.1023079511100746,0,0.03,std,2.908581576076288,200,D,price_ATMcall,1.0,-9.885377727793212,-0.1286754620451392
0,0.0002605380184136567,0.44623241751859977,0,0.9998918164383138,0.9999529389778592,0.3609696061124614,0,0.03,std,3.0998479254921096,200,D,delta_ATM,0.9999308843395776,-3.3266719150382853,-0.28510589783919427
0,0.009596699975298854,0.9002818881716541,0,0.9977422971094484,0.9989871982631242,0.29678686274743016,0,0.03,std,2.9659192267044334,200,D,digital_OTM110,0.998217207617894,-2.4064221802846393,-0.16797538920524321
0,1.373866961393472e-146,0.8984626372104475,0,1.0,1.0,0.05530035874061718,0,0.1,std,2.845181630518478,200,E,price_ATMcall,1.0,-25.64547388879539,-0.08698933715128461
0,5.1120402528695254e-11,0.7897485241459768,0,0.9999999999838236,0.9999999999990206,0.12525681598405297,0,0.1,std,3.1491243767921415,200,E,delta_ATM,0.9999999999943097,-6.333962069396094,-0.04662991879413568
0,0.2308672247484248,0.5795367553237456,0,1.0000824761618041,1.0061820901243246,0.057856092650338406,0,0.1,std,3.0468099709032312,200,E,digital_OTM110,1.0036847779795663,-1.7509147400386575,0.09102544312350234
0,0.2308672247484248,0.5795367553237456,0,0.9991357775373093,1.0069588475093578,0.057856092650338406,0,0.1,scan_k=+0.09,3.0468099709032312,200,E,digital_scan,1.0036847779795663,-1.7509147400386575,0.09102544312350234
