AD_rej,KS_p,KS_rej,cell,degenerate,kurt,mu,payoff,q25,q75,ratio,s,sig,skew
0,0.7268884672253788,0,T1_tailnoise_σ,0,3.6626603482246907,-4.9714085509323775e-05,price_ATMcall,0.9450167944668346,0.9726091897608221,0.9576979249146852,-0.0028223707964440035,0.017614299854562046,0.011690281883073632
0,0.6122825403365566,0,T1_tailnoise_σ,0,3.6802336257504056,-0.0003560905648605817,delta_ATM,0.9486686248761517,0.9732359475827145,0.9593957470714803,-0.019391692642574492,0.01836304707505441,0.005517588141610268
0,0.8482135994021462,0,T1_tailnoise_σ,0,3.540018980095901,-0.0002457576543264589,digital_k1.0,0.9562336132565901,0.9861178654763978,0.9631969927536235,-0.2804428036209067,0.0008763200593967316,-0.12091809100528055
0,0.7815167244465643,0,T1_tailnoise_σ,0,3.642819360239454,-0.00019067696049689077,digital_k1.5,0.9445338772793418,0.9770848341661388,0.9611296973499792,-0.2285669952038784,0.0008342278828437575,-0.1020190372499712
0,0.5196398433477739,0,T1_tailnoise_σ,0,3.733374110318868,-0.00011027829732311875,digital_k2.0,0.9500823151967246,0.9741463745507333,0.9615433333357483,-0.1471938156677161,0.0007492046919421357,-0.051169056669877644
0,0.6901275863066336,0,T1_tailnoise_σ,0,3.674567388937724,-1.4977236520047785e-05,digital_k2.5,0.951066762637706,0.9803147430714405,0.9610837543984648,-0.02475813581380426,0.0006049420131097676,0.01679161446498978
0,0.4541891817874618,0,T1_tailnoise_σ,0,3.471372217524846,5.081829040245733e-05,digital_k3.0,0.9513466126419758,0.9785937207340638,0.9628615265193909,0.12219427423534147,0.00041588110998215234,0.010044227738589212
0,0.5098117321373015,0,T2_tailnoise_η,0,3.048831986708125,2.5805653964626183,price_ATMcall,1.0,1.0,1.0,16.591333566485005,0.15553694861969614,0.04404298226360049
0,0.5152082895778254,0,T2_tailnoise_η,0,3.0449100639246676,2.68640299617199,delta_ATM,1.0,1.0,1.0,16.6469753783984,0.16137484048050824,0.04103161577129437
0,0.89283471801135,0,T2_tailnoise_η,0,2.9285312728719166,0.11223430349099417,digital_k1.0,1.0,1.0,1.0,15.786106466138367,0.007109688746350459,-0.0018896424367814137
0,0.891918478221532,0,T2_tailnoise_η,0,3.0329129197618605,0.11059367672347928,digital_k1.5,1.0,1.0,1.0,16.633797641678928,0.006648732845370634,0.036405175388166795
0,0.988935723253017,0,T2_tailnoise_η,0,3.0823316018247695,0.10331521252481683,digital_k2.0,1.0,1.0,1.0,17.049642030111887,0.006059670481195365,0.06303156392458488
0,0.4095607237769505,0,T2_tailnoise_η,0,3.0288616077118067,0.08654021455754841,digital_k2.5,1.0,1.0,1.0,16.37288782190446,0.005285580375245144,0.025881884050673827
0,0.9518416436947446,0,T2_tailnoise_η,0,3.055736681461199,0.05981746430078021,digital_k3.0,1.0,1.0,1.0,15.27873429158661,0.003915079820042378,0.003651740273289152
0,0.48634118557979367,0,refA_nearnoise,0,3.1750271252278828,-0.0003288490182511868,price_ATMcall,0.9999997887250357,0.9999999602298714,0.9999998731776054,-4.671233201981982,7.039875853589534e-05,-0.21279591765383185
0,0.9565126028561896,0,refA_nearnoise,0,3.2856436345967883,-0.0001917936740812077,delta_ATM,0.9980058830361563,1.0045994530191797,1.0018647319600096,-2.026943894316937,9.462209320097662e-05,0.02444750998286719
0,0.8992985113002426,0,refA_nearnoise,0,2.9614272096006506,-6.471019116703493e-05,digital_k1.0,0.99999968779913,0.9999999421444279,0.9999998634912112,-4.657245032228663,1.389452148625058e-05,-0.21573247705248785
0,0.39067303665139885,0,refA_nearnoise,0,3.491680650559442,-6.202600514629276e-06,digital_k1.5,0.999996997282895,0.9999995934462451,0.9999988223652763,-4.232069740025658,1.4656186914801812e-06,-0.37813110678928485
1,0.09536398991750927,0,refA_nearnoise,0,4.4033825750051045,-4.1076241692205067e-07,digital_k2.0,0.9999955242345967,0.9999990924717317,0.9999976945234109,-4.092755988561608,1.0036328040812723e-07,-0.8032519312872408
1,0.07175525502485935,0,refA_nearnoise,0,5.419818379317296,-3.7656043615623765e-08,digital_k2.5,0.9999703257073111,0.9999962993716045,0.9999888835876299,-3.75200118245161,1.0036255796438417e-08,-1.1535282361280805
1,0.06168685776710425,0,refA_nearnoise,0,4.466743416642306,-6.178097058233555e-09,digital_k3.0,0.9979124424943014,0.9990241363158443,0.9985209564684482,-2.5225864336510035,2.449112139754053e-09,-0.9913091347730418
