model,block,n_configs,raw_acc_err_mlp_median,raw_acc_err_mlp_q75,residual_NN_error_mlp_median,residual_NN_error_mlp_q75,residual_NN_error_mlp_abs_median,raw_acc_err_deeponet_median,raw_acc_err_deeponet_q75,residual_NN_error_deeponet_median,residual_NN_error_deeponet_q75,residual_NN_error_deeponet_abs_median,explained_fraction_mlp_median,explained_fraction_deeponet_median
heston,Exp01,15.0,0.10205005430982172,0.10999920695585014,-0.02096112574735565,-0.01894800058500467,0.02096112574735565,0.07669853297096148,0.08321209399022277,-0.01976850792631312,-0.013609651164132458,0.01976850792631312,0.7817082875658046,1.271056511675132
kou,KouAB_stageB,12.0,0.09391784307456634,0.1159800366400137,-0.03477731190749686,-0.03298341015405459,0.03477731190749686,0.149407624765315,0.15544623232060487,-0.04264478906959068,-0.034559129578291055,0.04264478906959068,0.6335241513738377,1.2887119912340321
heston,OVERALL,15.0,0.10205005430982172,0.10999920695585014,-0.02096112574735565,-0.01894800058500467,0.02096112574735565,0.07669853297096148,0.08321209399022277,-0.01976850792631312,-0.013609651164132458,0.01976850792631312,0.7817082875658046,1.271056511675132
kou,OVERALL,12.0,0.09391784307456634,0.1159800366400137,-0.03477731190749686,-0.03298341015405459,0.03477731190749686,0.149407624765315,0.15544623232060487,-0.04264478906959068,-0.034559129578291055,0.04264478906959068,0.6335241513738377,1.2887119912340321
