model,pair,payoff,N,B,ratio_med,ratio_q25,ratio_q75,KS_rejrate,AD_rejrate,skew_med,kurt_med
heston,B,delta_ATM,100,100,0.9999444045505428,0.9997991483872196,1.000287345643438,0.0,0.01,0.0104277435950988,2.725386566107054
heston,B,delta_ATM,200,1,1.0000576134675667,1.0000576134675667,1.0000576134675667,0.0,0.0,0.015889764101706637,2.7331942609322875
heston,B,digital_OTM110,5,100,0.9985795827906965,0.9917130908888595,0.9999239597482751,0.0,0.0,0.0636767385210309,2.094178071739755
heston,B,digital_OTM110,10,100,0.9981228933614691,0.9942919184738455,0.9996218526331148,0.0,0.02,-0.04328378078202665,2.2914084532168255
heston,B,digital_OTM110,20,100,0.9970512349027181,0.9947095201639911,0.9993576172795169,0.0,0.03,-0.023472317821428418,2.4357798427606836
heston,B,digital_OTM110,50,100,0.997563580254605,0.9959140396594086,0.9986948517633039,0.0,0.01,-0.1288483474649097,2.679554881433049
heston,B,digital_OTM110,100,100,0.9976773226161433,0.9965573091797102,0.9982785111844918,0.0,0.0,-0.12305974773140521,2.749014048545265
heston,B,digital_OTM110,200,1,0.9977676615838946,0.9977676615838946,0.9977676615838946,0.0,0.0,-0.0972150491725489,2.7628453545083262
heston,C,price_ATMcall,5,100,1.0,0.9999999999999684,1.0,0.0,0.0,-0.09983267574056534,1.893860955551904
heston,C,price_ATMcall,10,100,1.0,1.0,1.0,0.0,0.01,-0.07520021317732223,2.2089048588248144
heston,C,price_ATMcall,20,100,1.0,0.9999999999999999,1.0,0.0,0.04,-0.04886888273928343,2.4658150784095376
heston,C,price_ATMcall,50,100,1.0,1.0,1.0,0.0,0.03,-0.11380199914381645,2.8052257097866535
heston,C,price_ATMcall,100,100,1.0,1.0,1.0,0.0,0.0,-0.0894848032770235,2.9907124784128385
heston,C,price_ATMcall,200,1,1.0,1.0,1.0,0.0,0.0,-0.08738133675929442,3.012313773431261
heston,C,delta_ATM,5,100,0.9998939917854026,0.9987656666287792,0.9999982038011502,0.0,0.0,0.015513665566369496,1.8027145327867604
heston,C,delta_ATM,10,100,0.9998275493992852,0.9993916074042137,0.9999856765320941,0.0,0.03,0.05602667744137843,2.05324970245821
heston,C,delta_ATM,20,100,0.9998086111081266,0.9993796634307588,0.999961720404886,0.0,0.02,0.04017182837119443,2.3140692750619385
heston,C,delta_ATM,50,100,0.999811225563499,0.9997013806319393,0.999925716037378,0.0,0.02,0.03704671085895516,2.4475704999676586
heston,C,delta_ATM,100,100,0.9998405295287222,0.9997662298634762,0.9998910722812973,0.0,0.0,0.042336597444018076,2.4440141572596765
heston,C,delta_ATM,200,1,0.9998477866978455,0.9998477866978455,0.9998477866978455,0.0,0.0,0.0494702408347229,2.47178028856968
heston,C,digital_OTM110,5,100,0.9994255302348105,0.9920673546077793,0.999948664495881,0.0,0.0,0.07918623379799997,2.100094386588462
heston,C,digital_OTM110,10,100,0.9982611877707251,0.993720925819759,0.9996965549709844,0.0,0.02,-0.00812935361565578,2.1110267936533917
heston,C,digital_OTM110,20,100,0.9976869593216846,0.9955284045814383,0.9992722756814857,0.0,0.05,-0.060284285630423644,2.2874289356056656
heston,C,digital_OTM110,50,100,0.9978417705285305,0.9968880899463248,0.9987819453216693,0.0,0.01,0.05801268257520147,2.343750684369077
heston,C,digital_OTM110,100,100,0.9981576917088337,0.9973494050366123,0.9985064090555975,0.0,0.02,0.0493469729436609,2.3535216747175234
heston,C,digital_OTM110,200,1,0.9981031437561373,0.9981031437561373,0.9981031437561373,0.0,0.0,0.027159869865225828,2.4148563841977997
heston,D,price_ATMcall,5,100,1.0,1.0,1.0,0.0,0.0,0.09868661713336506,1.9614038037661374
heston,D,price_ATMcall,10,100,1.0,1.0,1.0,0.0,0.04,-0.11506104128046322,2.270012653141935
heston,D,price_ATMcall,20,100,1.0,1.0,1.0,0.0,0.08,0.008822992754343183,2.5091999113503203
heston,D,price_ATMcall,50,100,1.0,1.0,1.0,0.0,0.05,-0.09938148254726652,2.903043464434311
heston,D,price_ATMcall,100,100,1.0,1.0,1.0,0.0,0.03,-0.11805391059169847,2.9072558705225386
