model,block,exp,config_id,payoff,sigma_delta,mu_delta,Delta,b_Delta,J_hat,S_hat,empirical_mr,theory_mr,corrected,ratio_corrected,ratio_b5_raw
heston,Exp02,exp02,Exp02-D,OTM_K125,0.000768,-0.00990366,-0.008985120435511028,-0.0009185395644889724,2.8125653553471277e-42,0.0009185395644889724,0.00964122,0.00990366,0.008722680435511028,0.9707917103745451,0.9735
heston,Exp02,exp02,Exp02-E,ATM,0.001028,-0.03151727,-0.029848411618922033,-0.0016688583810779666,6.744921288404081e-211,0.0016688583810779666,0.03144407,0.03151727,0.02977521161892203,0.9975476081965582,0.9977
heston,Exp02,exp02,Exp02-E,OTM_K110,0.00096,-0.03237274,-0.03068259971867562,-0.0016901402813243767,7.925169349165967e-254,0.0016901402813243767,0.03228345,0.03237274,0.03059330971867562,0.9970898815348541,0.9972
heston,Exp02,exp02,Exp02-E,OTM_K125,0.00085,-0.0304044,-0.02870225461788489,-0.0017021453821151125,7.705183843893242e-285,0.0017021453821151125,0.03031607,0.0304044,0.028613924617884888,0.996922541410912,0.9971
heston,Exp02,exp02,Exp02-F1,ATM,4e-06,-3.628e-05,-3.3029640355161304e-05,-3.2503596448386947e-06,5.128342578561177e-26,3.2503596448386947e-06,3.54e-05,3.628e-05,3.2149640355161305e-05,0.9733572636414587,0.9757
heston,Exp02,exp02,Exp02-F1,OTM_K110,4e-06,-3.684e-05,-3.372221404704368e-05,-3.1177859529563196e-06,1.3848127226719062e-26,3.1177859529563196e-06,3.602e-05,3.684e-05,3.290221404704368e-05,0.9756836843851334,0.9777
heston,Exp02,exp02,Exp02-F1,OTM_K125,3e-06,-3.329e-05,-3.0503069482040746e-05,-2.7869305179592555e-06,3.46526223002859e-35,2.7869305179592555e-06,3.26e-05,3.329e-05,2.9813069482040744e-05,0.9773793256968367,0.979
heston,Exp02,exp02,Exp02-F2,ATM,9e-06,-7.26e-05,-6.605160496244331e-05,-6.548395037556695e-06,7.829624185176459e-22,6.548395037556695e-06,7.082e-05,7.26e-05,6.427160496244331e-05,0.9730513739823263,0.9755
heston,Exp02,exp02,Exp02-F2,OTM_K110,8e-06,-7.371e-05,-6.743724730443394e-05,-6.2727526955660555e-06,2.673477462943693e-26,6.2727526955660555e-06,7.206e-05,7.371e-05,6.578724730443394e-05,0.9755328091529099,0.9775
heston,Exp02,exp02,Exp02-F2,OTM_K125,7e-06,-6.661e-05,-6.100244024224666e-05,-5.607559757753342e-06,1.2997503261908844e-27,5.607559757753342e-06,6.521e-05,6.661e-05,5.960244024224665e-05,0.9770500984150721,0.9789
heston,Exp02,exp02,Exp02-F3,ATM,1.3e-05,-0.00010888,-9.906589872332628e-05,-9.814101276673718e-06,8.315872746679466e-23,9.814101276673718e-06,0.00010625,0.00010888,9.643589872332628e-05,0.9734520149325537,0.9759
heston,Exp02,exp02,Exp02-F3,OTM_K110,1.2e-05,-0.00011056,-0.00010114510371912179,-9.414896280878212e-06,4.025993111913419e-26,9.414896280878212e-06,0.00010811,0.00011056,9.86951037191218e-05,0.9757773741890304,0.9779
heston,Exp02,exp02,Exp02-F3,OTM_K125,1e-05,-9.991e-05,-9.149811208158163e-05,-8.411887918418368e-06,1.6384932484733947e-29,8.411887918418368e-06,9.784e-05,9.991e-05,8.942811208158163e-05,0.9773765823916198,0.9793
heston,Exp02,exp02,Exp02-F4,ATM,2.1e-05,-0.00018138,-0.000165071493289755,-1.6308506710245005e-05,1.366072107208715e-23,1.6308506710245005e-05,0.00017723,0.00018138,0.000160921493289755,0.9748593780955542,0.9771
heston,Exp02,exp02,Exp02-F4,OTM_K110,2e-05,-0.00018418,-0.0001685393017948554,-1.5640698205144585e-05,6.989593357402135e-26,1.5640698205144585e-05,0.00018032,0.00018418,0.00016467930179485542,0.9770973300654922,0.979
heston,Exp02,exp02,Exp02-F4,OTM_K125,1.7e-05,-0.00016646,-0.00015247835821824608,-1.3981641781753921e-05,2.0785357641650043e-28,1.3981641781753921e-05,0.0001632,0.00016646,0.0001492183582182461,0.9786199167010057,0.9804
heston,Exp02,exp02,Exp02-F5,ATM,3e-05,-0.0002539,-0.0002310464631687153,-2.28535368312847e-05,8.969745980934457e-23,2.28535368312847e-05,0.00024835,0.0002539,0.0002254964631687153,0.9759788575688031,0.9781
heston,Exp02,exp02,Exp02-F5,OTM_K110,2.9e-05,-0.00025781,-0.0002359048397887429,-2.1905160211257117e-05,1.94590714117996e-24,2.1905160211257117e-05,0.00025267,0.00025781,0.00023076483978874286,0.9782115534187301,0.9801
heston,Exp02,exp02,Exp02-F5,OTM_K125,2.4e-05,-0.00023302,-0.00021344380636088928,-1.9576193639110704e-05,6.674652229092782e-28,1.9576193639110704e-05,0.00022868,0.00023302,0.0002091038063608893,0.9796667794020599,0.9814
heston,Exp02,exp02,Exp02-G1,ATM,2.8e-05,-9.425e-05,-7.799070849744015e-05,-1.625929150255985e-05,5.534392130504197e-09,1.625929150255985e-05,9.473e-05,9.426e-05,7.846517410530964e-05,1.0060836171001712,1.005
heston,Exp02,exp02,Exp02-G1,OTM_K110,2.7e-05,-9.949e-05,-8.40478802954562e-05,-1.5442119704543795e-05,1.49083847401029e-09,1.5442119704543795e-05,0.00010043,9.949e-05,8.49863894569822e-05,1.011166363247078,1.0094
heston,Exp02,exp02,Exp02-G1,OTM_K125,2.4e-05,-9.426e-05,-8.043814603001351e-05,-1.3821853969986483e-05,4.71819719579829e-10,1.3821853969986483e-05,9.533e-05,9.426e-05,8.150767421029393e-05,1.013296280845177,1.0114
