model,pair,layer,payoff_id,k,VR_k,predicted_VR,diff_pct
heston,A,A,put_k=-0.10,300,1.0,1.0,0.0
heston,A,A,put_k=-0.15,1,0.629187,0.629187,0.0
heston,A,A,put_k=-0.15,2,0.893678,0.893678,0.0
heston,A,A,put_k=-0.15,3,0.955765,0.955765,0.0
heston,A,A,put_k=-0.15,5,0.981874,0.981874,0.0
heston,A,A,put_k=-0.15,10,0.990991,0.990991,0.0
heston,A,A,put_k=-0.15,20,0.995855,0.995855,0.0
heston,A,A,put_k=-0.15,50,0.999625,0.999625,0.0
heston,A,A,put_k=-0.15,300,1.0,1.0,0.0
heston,A,A,put_k=-0.20,1,0.615299,0.615299,0.0
heston,A,A,put_k=-0.20,2,0.885846,0.885846,0.0
heston,A,A,put_k=-0.20,3,0.958424,0.958424,0.0
heston,A,A,put_k=-0.20,5,0.980592,0.980592,0.0
heston,A,A,put_k=-0.20,10,0.990564,0.990564,0.0
heston,A,A,put_k=-0.20,20,0.995471,0.995471,0.0
heston,A,A,put_k=-0.20,50,0.999596,0.999596,0.0
heston,A,A,put_k=-0.20,300,1.0,1.0,0.0
heston,A,A,put_k=-0.30,1,0.577658,0.577658,0.0
heston,A,A,put_k=-0.30,2,0.856507,0.856507,0.0
heston,A,A,put_k=-0.30,3,0.95646,0.95646,0.0
heston,A,A,put_k=-0.30,5,0.974028,0.974028,0.0
heston,A,A,put_k=-0.30,10,0.988523,0.988523,0.0
heston,A,A,put_k=-0.30,20,0.994455,0.994455,0.0
heston,A,A,put_k=-0.30,50,0.999492,0.999492,0.0
heston,A,A,put_k=-0.30,300,1.0,1.0,0.0
heston,A,A,put_k=-0.50,1,0.490411,0.490411,0.0
heston,A,A,put_k=-0.50,2,0.764439,0.764439,0.0
heston,A,A,put_k=-0.50,3,0.921904,0.921904,0.0
heston,A,A,put_k=-0.50,5,0.936413,0.936413,0.0
heston,A,A,put_k=-0.50,10,0.973984,0.973984,0.0
heston,A,A,put_k=-0.50,20,0.988317,0.988317,0.0
heston,A,A,put_k=-0.50,50,0.998933,0.998933,0.0
heston,A,A,put_k=-0.50,300,1.0,1.0,0.0
heston,A,A,put_k=-0.60,1,0.447021,0.447021,0.0
heston,A,A,put_k=-0.60,2,0.712198,0.712198,0.0
heston,A,A,put_k=-0.60,3,0.890983,0.890983,0.0
heston,A,A,put_k=-0.60,5,0.904401,0.904401,0.0
heston,A,A,put_k=-0.60,10,0.958373,0.958373,0.0
heston,A,A,put_k=-0.60,20,0.979903,0.979903,0.0
heston,A,A,put_k=-0.60,50,0.998275,0.998275,0.0
heston,A,A,put_k=-0.60,300,1.0,1.0,0.0
heston,A,A,put_k=-0.70,1,0.404763,0.404763,0.0
heston,A,A,put_k=-0.70,2,0.660019,0.660019,0.0
heston,A,A,put_k=-0.70,3,0.854017,0.854017,0.0
heston,A,A,put_k=-0.70,5,0.866168,0.866168,0.0
heston,A,A,put_k=-0.70,10,0.936444,0.936444,0.0
heston,A,A,put_k=-0.70,20,0.96579,0.96579,0.0
heston,A,A,put_k=-0.70,50,0.99705,0.99705,0.0
heston,A,A,put_k=-0.70,300,1.0,1.0,0.0
heston,B,A,call_k=+0.00,1,0.665638,0.665638,0.0
heston,B,A,call_k=+0.00,2,0.88442,0.88442,0.0
heston,B,A,call_k=+0.00,3,0.889869,0.889869,0.0
heston,B,A,call_k=+0.00,5,0.979414,0.979414,0.0
heston,B,A,call_k=+0.00,10,0.981608,0.981608,0.0
heston,B,A,call_k=+0.00,20,0.990623,0.990623,0.0
heston,B,A,call_k=+0.00,50,0.998583,0.998583,0.0
