model,pair,layer,payoff_id,k,VR_k,predicted_VR,diff_pct
heston,D,A,call_k=+0.10,50,0.998188,0.998188,0.0
heston,D,A,call_k=+0.10,300,1.0,1.0,0.0
heston,D,A,call_k=+0.15,1,0.630334,0.630334,0.0
heston,D,A,call_k=+0.15,2,0.895613,0.895613,0.0
heston,D,A,call_k=+0.15,3,0.910646,0.910646,0.0
heston,D,A,call_k=+0.15,5,0.971851,0.971851,0.0
heston,D,A,call_k=+0.15,10,0.974651,0.974651,0.0
heston,D,A,call_k=+0.15,20,0.986013,0.986013,0.0
heston,D,A,call_k=+0.15,50,0.998107,0.998107,0.0
heston,D,A,call_k=+0.15,300,1.0,1.0,0.0
heston,D,A,call_k=+0.20,1,0.625519,0.625519,0.0
heston,D,A,call_k=+0.20,2,0.894033,0.894033,0.0
heston,D,A,call_k=+0.20,3,0.914103,0.914103,0.0
heston,D,A,call_k=+0.20,5,0.970779,0.970779,0.0
heston,D,A,call_k=+0.20,10,0.973679,0.973679,0.0
heston,D,A,call_k=+0.20,20,0.985171,0.985171,0.0
heston,D,A,call_k=+0.20,50,0.99795,0.99795,0.0
heston,D,A,call_k=+0.20,300,1.0,1.0,0.0
heston,D,A,call_k=+0.30,1,0.5953,0.5953,0.0
heston,D,A,call_k=+0.30,2,0.873151,0.873151,0.0
heston,D,A,call_k=+0.30,3,0.908225,0.908225,0.0
heston,D,A,call_k=+0.30,5,0.963612,0.963612,0.0
heston,D,A,call_k=+0.30,10,0.967656,0.967656,0.0
heston,D,A,call_k=+0.30,20,0.981749,0.981749,0.0
heston,D,A,call_k=+0.30,50,0.997308,0.997308,0.0
heston,D,A,call_k=+0.30,300,1.0,1.0,0.0
heston,D,A,call_k=+0.50,1,0.478746,0.478746,0.0
heston,D,A,call_k=+0.50,2,0.75628,0.75628,0.0
heston,D,A,call_k=+0.50,3,0.836284,0.836284,0.0
heston,D,A,call_k=+0.50,5,0.906125,0.906125,0.0
heston,D,A,call_k=+0.50,10,0.916399,0.916399,0.0
heston,D,A,call_k=+0.50,20,0.950834,0.950834,0.0
heston,D,A,call_k=+0.50,50,0.992196,0.992196,0.0
heston,D,A,call_k=+0.50,300,1.0,1.0,0.0
heston,D,A,call_k=+0.60,1,0.407652,0.407652,0.0
heston,D,A,call_k=+0.60,2,0.664858,0.664858,0.0
heston,D,A,call_k=+0.60,3,0.766637,0.766637,0.0
heston,D,A,call_k=+0.60,5,0.843993,0.843993,0.0
heston,D,A,call_k=+0.60,10,0.859091,0.859091,0.0
heston,D,A,call_k=+0.60,20,0.907919,0.907919,0.0
heston,D,A,call_k=+0.60,50,0.982954,0.982954,0.0
heston,D,A,call_k=+0.60,300,1.0,1.0,0.0
heston,D,A,call_k=+0.70,1,0.334418,0.334418,0.0
heston,D,A,call_k=+0.70,2,0.557955,0.557955,0.0
heston,D,A,call_k=+0.70,3,0.67621,0.67621,0.0
heston,D,A,call_k=+0.70,5,0.757172,0.757172,0.0
heston,D,A,call_k=+0.70,10,0.777736,0.777736,0.0
heston,D,A,call_k=+0.70,20,0.839045,0.839045,0.0
heston,D,A,call_k=+0.70,50,0.957944,0.957944,0.0
heston,D,A,call_k=+0.70,300,1.0,1.0,0.0
heston,D,A,put_k=-0.05,1,0.469397,0.469397,0.0
heston,D,A,put_k=-0.05,2,0.828269,0.828269,0.0
heston,D,A,put_k=-0.05,3,0.900372,0.900372,0.0
heston,D,A,put_k=-0.05,5,0.972678,0.972678,0.0
heston,D,A,put_k=-0.05,10,0.985133,0.985133,0.0
heston,D,A,put_k=-0.05,20,0.993432,0.993432,0.0
heston,D,A,put_k=-0.05,50,0.999404,0.999404,0.0
heston,D,A,put_k=-0.05,300,1.0,1.0,0.0
heston,D,A,put_k=-0.10,1,0.473201,0.473201,0.0
heston,D,A,put_k=-0.10,2,0.832383,0.832383,0.0
heston,D,A,put_k=-0.10,3,0.912981,0.912981,0.0
heston,D,A,put_k=-0.10,5,0.972698,0.972698,0.0
heston,D,A,put_k=-0.10,10,0.984563,0.984563,0.0
heston,D,A,put_k=-0.10,20,0.993302,0.993302,0.0
heston,D,A,put_k=-0.10,50,0.999391,0.999391,0.0
heston,D,A,put_k=-0.10,300,1.0,1.0,0.0
heston,D,A,put_k=-0.15,1,0.469324,0.469324,0.0
heston,D,A,put_k=-0.15,2,0.829001,0.829001,0.0
heston,D,A,put_k=-0.15,3,0.921949,0.921949,0.0
heston,D,A,put_k=-0.15,5,0.971996,0.971996,0.0
heston,D,A,put_k=-0.15,10,0.984007,0.984007,0.0
heston,D,A,put_k=-0.15,20,0.992967,0.992967,0.0
heston,D,A,put_k=-0.15,50,0.999363,0.999363,0.0
heston,D,A,put_k=-0.15,300,1.0,1.0,0.0
heston,D,A,put_k=-0.20,1,0.459,0.459,0.0
heston,D,A,put_k=-0.20,2,0.81795,0.81795,0.0
heston,D,A,put_k=-0.20,3,0.926707,0.926707,0.0
heston,D,A,put_k=-0.20,5,0.970204,0.970204,0.0
heston,D,A,put_k=-0.20,10,0.983275,0.983275,0.0
heston,D,A,put_k=-0.20,20,0.992359,0.992359,0.0
heston,D,A,put_k=-0.20,50,0.999314,0.999314,0.0
heston,D,A,put_k=-0.20,300,1.0,1.0,0.0
heston,D,A,put_k=-0.30,1,0.42725,0.42725,0.0
heston,D,A,put_k=-0.30,2,0.778843,0.778843,0.0
heston,D,A,put_k=-0.30,3,0.925904,0.925904,0.0
heston,D,A,put_k=-0.30,5,0.961438,0.961438,0.0
heston,D,A,put_k=-0.30,10,0.979768,0.979768,0.0
heston,D,A,put_k=-0.30,20,0.990749,0.990749,0.0
heston,D,A,put_k=-0.30,50,0.999146,0.999146,0.0
heston,D,A,put_k=-0.30,300,1.0,1.0,0.0
heston,D,A,put_k=-0.50,1,0.347423,0.347423,0.0
heston,D,A,put_k=-0.50,2,0.665983,0.665983,0.0
heston,D,A,put_k=-0.50,3,0.882847,0.882847,0.0
heston,D,A,put_k=-0.50,5,0.912522,0.912522,0.0
heston,D,A,put_k=-0.50,10,0.956933,0.956933,0.0
heston,D,A,put_k=-0.50,20,0.982195,0.982195,0.0
heston,D,A,put_k=-0.50,50,0.998317,0.998317,0.0
heston,D,A,put_k=-0.50,300,1.0,1.0,0.0
heston,D,A,put_k=-0.60,1,0.307317,0.307317,0.0
heston,D,A,put_k=-0.60,2,0.606836,0.606836,0.0
heston,D,A,put_k=-0.60,3,0.84506,0.84506,0.0
heston,D,A,put_k=-0.60,5,0.872494,0.872494,0.0
heston,D,A,put_k=-0.60,10,0.934343,0.934343,0.0
heston,D,A,put_k=-0.60,20,0.970534,0.970534,0.0
heston,D,A,put_k=-0.60,50,0.997398,0.997398,0.0
heston,D,A,put_k=-0.60,300,1.0,1.0,0.0
heston,D,A,put_k=-0.70,1,0.26824,0.26824,0.0
heston,D,A,put_k=-0.70,2,0.549687,0.549687,0.0
heston,D,A,put_k=-0.70,3,0.8006,0.8006,0.0
heston,D,A,put_k=-0.70,5,0.825743,0.825743,0.0
heston,D,A,put_k=-0.70,10,0.904096,0.904096,0.0
heston,D,A,put_k=-0.70,20,0.951715,0.951715,0.0
heston,D,A,put_k=-0.70,50,0.995763,0.995763,0.0
heston,D,A,put_k=-0.70,300,1.0,1.0,0.0
kou,A,A,call_k=+0.00,1,0.377057,0.377057,0.0
kou,A,A,call_k=+0.00,2,0.421051,0.421051,0.0
kou,A,A,call_k=+0.00,3,0.943732,0.943732,0.0
kou,A,A,call_k=+0.00,5,0.970445,0.970445,0.0
kou,A,A,call_k=+0.00,10,0.99748,0.99748,0.0
kou,A,A,call_k=+0.00,20,0.999546,0.999546,0.0
kou,A,A,call_k=+0.00,50,0.999853,0.999853,0.0
kou,A,A,call_k=+0.00,256,1.0,1.0,0.0
kou,A,A,call_k=+0.05,1,0.400879,0.400879,0.0
kou,A,A,call_k=+0.05,2,0.445585,0.445585,0.0
kou,A,A,call_k=+0.05,3,0.942862,0.942862,0.0
kou,A,A,call_k=+0.05,5,0.970836,0.970836,0.0
kou,A,A,call_k=+0.05,10,0.997492,0.997492,0.0
kou,A,A,call_k=+0.05,20,0.999545,0.999545,0.0
kou,A,A,call_k=+0.05,50,0.999852,0.999852,0.0
kou,A,A,call_k=+0.05,256,1.0,1.0,0.0
kou,A,A,call_k=+0.10,1,0.417945,0.417945,0.0
kou,A,A,call_k=+0.10,2,0.463252,0.463252,0.0
kou,A,A,call_k=+0.10,3,0.940517,0.940517,0.0
kou,A,A,call_k=+0.10,5,0.970893,0.970893,0.0
kou,A,A,call_k=+0.10,10,0.99747,0.99747,0.0
kou,A,A,call_k=+0.10,20,0.999538,0.999538,0.0
kou,A,A,call_k=+0.10,50,0.99985,0.99985,0.0
kou,A,A,call_k=+0.10,256,1.0,1.0,0.0
kou,A,A,call_k=+0.15,1,0.429228,0.429228,0.0
kou,A,A,call_k=+0.15,2,0.474915,0.474915,0.0
kou,A,A,call_k=+0.15,3,0.936556,0.936556,0.0
kou,A,A,call_k=+0.15,5,0.970512,0.970512,0.0
kou,A,A,call_k=+0.15,10,0.997404,0.997404,0.0
kou,A,A,call_k=+0.15,20,0.999523,0.999523,0.0
kou,A,A,call_k=+0.15,50,0.999845,0.999845,0.0
kou,A,A,call_k=+0.15,256,1.0,1.0,0.0
kou,A,A,call_k=+0.20,1,0.435106,0.435106,0.0
kou,A,A,call_k=+0.20,2,0.480871,0.480871,0.0
kou,A,A,call_k=+0.20,3,0.930774,0.930774,0.0
kou,A,A,call_k=+0.20,5,0.969552,0.969552,0.0
kou,A,A,call_k=+0.20,10,0.997284,0.997284,0.0
kou,A,A,call_k=+0.20,20,0.9995,0.9995,0.0
kou,A,A,call_k=+0.20,50,0.999837,0.999837,0.0
kou,A,A,call_k=+0.20,256,1.0,1.0,0.0
kou,A,A,call_k=+0.30,1,0.433052,0.433052,0.0
kou,A,A,call_k=+0.30,2,0.477975,0.477975,0.0
kou,A,A,call_k=+0.30,3,0.913279,0.913279,0.0
kou,A,A,call_k=+0.30,5,0.965265,0.965265,0.0
kou,A,A,call_k=+0.30,10,0.996861,0.996861,0.0
kou,A,A,call_k=+0.30,20,0.999418,0.999418,0.0
kou,A,A,call_k=+0.30,50,0.999809,0.999809,0.0
kou,A,A,call_k=+0.30,256,1.0,1.0,0.0
kou,A,A,call_k=+0.50,1,0.393606,0.393606,0.0
kou,A,A,call_k=+0.50,2,0.433833,0.433833,0.0
kou,A,A,call_k=+0.50,3,0.855925,0.855925,0.0
kou,A,A,call_k=+0.50,5,0.943867,0.943867,0.0
kou,A,A,call_k=+0.50,10,0.995016,0.995016,0.0
kou,A,A,call_k=+0.50,20,0.999034,0.999034,0.0
kou,A,A,call_k=+0.50,50,0.999679,0.999679,0.0
kou,A,A,call_k=+0.50,256,1.0,1.0,0.0
kou,A,A,call_k=+0.60,1,0.365423,0.365423,0.0
kou,A,A,call_k=+0.60,2,0.402481,0.402481,0.0
kou,A,A,call_k=+0.60,3,0.818146,0.818146,0.0
kou,A,A,call_k=+0.60,5,0.925513,0.925513,0.0
kou,A,A,call_k=+0.60,10,0.993097,0.993097,0.0
kou,A,A,call_k=+0.60,20,0.998625,0.998625,0.0
kou,A,A,call_k=+0.60,50,0.99954,0.99954,0.0
kou,A,A,call_k=+0.60,256,1.0,1.0,0.0
kou,A,A,call_k=+0.70,1,0.335914,0.335914,0.0
kou,A,A,call_k=+0.70,2,0.369498,0.369498,0.0
kou,A,A,call_k=+0.70,3,0.775932,0.775932,0.0
kou,A,A,call_k=+0.70,5,0.901655,0.901655,0.0
kou,A,A,call_k=+0.70,10,0.989703,0.989703,0.0
kou,A,A,call_k=+0.70,20,0.99795,0.99795,0.0
kou,A,A,call_k=+0.70,50,0.999305,0.999305,0.0
kou,A,A,call_k=+0.70,256,1.0,1.0,0.0
kou,A,A,put_k=-0.05,1,0.849169,0.849169,0.0
kou,A,A,put_k=-0.05,2,0.895398,0.895398,0.0
kou,A,A,put_k=-0.05,3,0.970301,0.970301,0.0
kou,A,A,put_k=-0.05,5,0.998182,0.998182,0.0
kou,A,A,put_k=-0.05,10,0.99986,0.99986,0.0
kou,A,A,put_k=-0.05,20,0.999976,0.999976,0.0
kou,A,A,put_k=-0.05,50,0.999994,0.999994,0.0
kou,A,A,put_k=-0.05,256,1.0,1.0,0.0
kou,A,A,put_k=-0.10,1,0.854376,0.854376,0.0
kou,A,A,put_k=-0.10,2,0.906964,0.906964,0.0
kou,A,A,put_k=-0.10,3,0.97242,0.97242,0.0
kou,A,A,put_k=-0.10,5,0.998154,0.998154,0.0
kou,A,A,put_k=-0.10,10,0.99986,0.99986,0.0
kou,A,A,put_k=-0.10,20,0.999976,0.999976,0.0
kou,A,A,put_k=-0.10,50,0.999994,0.999994,0.0
kou,A,A,put_k=-0.10,256,1.0,1.0,0.0
kou,A,A,put_k=-0.15,1,0.854935,0.854935,0.0
kou,A,A,put_k=-0.15,2,0.915986,0.915986,0.0
kou,A,A,put_k=-0.15,3,0.973507,0.973507,0.0
kou,A,A,put_k=-0.15,5,0.998072,0.998072,0.0
kou,A,A,put_k=-0.15,10,0.999857,0.999857,0.0
kou,A,A,put_k=-0.15,20,0.999976,0.999976,0.0
kou,A,A,put_k=-0.15,50,0.999994,0.999994,0.0
kou,A,A,put_k=-0.15,256,1.0,1.0,0.0
kou,A,A,put_k=-0.20,1,0.851036,0.851036,0.0
kou,A,A,put_k=-0.20,2,0.922784,0.922784,0.0
kou,A,A,put_k=-0.20,3,0.973539,0.973539,0.0
kou,A,A,put_k=-0.20,5,0.997952,0.997952,0.0
kou,A,A,put_k=-0.20,10,0.99985,0.99985,0.0
kou,A,A,put_k=-0.20,20,0.999974,0.999974,0.0
kou,A,A,put_k=-0.20,50,0.999993,0.999993,0.0
kou,A,A,put_k=-0.20,256,1.0,1.0,0.0
kou,A,A,put_k=-0.30,1,0.830632,0.830632,0.0
kou,A,A,put_k=-0.30,2,0.930253,0.930253,0.0
kou,A,A,put_k=-0.30,3,0.970169,0.970169,0.0
kou,A,A,put_k=-0.30,5,0.997619,0.997619,0.0
kou,A,A,put_k=-0.30,10,0.999828,0.999828,0.0
kou,A,A,put_k=-0.30,20,0.999969,0.999969,0.0
kou,A,A,put_k=-0.30,50,0.999992,0.999992,0.0
kou,A,A,put_k=-0.30,256,1.0,1.0,0.0
kou,A,A,put_k=-0.50,1,0.747301,0.747301,0.0
kou,A,A,put_k=-0.50,2,0.921642,0.921642,0.0
kou,A,A,put_k=-0.50,3,0.946911,0.946911,0.0
kou,A,A,put_k=-0.50,5,0.995919,0.995919,0.0
kou,A,A,put_k=-0.50,10,0.999682,0.999682,0.0
kou,A,A,put_k=-0.50,20,0.99994,0.99994,0.0
kou,A,A,put_k=-0.50,50,0.999985,0.999985,0.0
kou,A,A,put_k=-0.50,256,1.0,1.0,0.0
kou,A,A,put_k=-0.60,1,0.689687,0.689687,0.0
kou,A,A,put_k=-0.60,2,0.90462,0.90462,0.0
kou,A,A,put_k=-0.60,3,0.924907,0.924907,0.0
kou,A,A,put_k=-0.60,5,0.99339,0.99339,0.0
kou,A,A,put_k=-0.60,10,0.999509,0.999509,0.0
kou,A,A,put_k=-0.60,20,0.999906,0.999906,0.0
kou,A,A,put_k=-0.60,50,0.999977,0.999977,0.0
kou,A,A,put_k=-0.60,256,1.0,1.0,0.0
kou,A,A,put_k=-0.70,1,0.625682,0.625682,0.0
kou,A,A,put_k=-0.70,2,0.878386,0.878386,0.0
kou,A,A,put_k=-0.70,3,0.894988,0.894988,0.0
kou,A,A,put_k=-0.70,5,0.988189,0.988189,0.0
kou,A,A,put_k=-0.70,10,0.999234,0.999234,0.0
kou,A,A,put_k=-0.70,20,0.999843,0.999843,0.0
kou,A,A,put_k=-0.70,50,0.999962,0.999962,0.0
kou,A,A,put_k=-0.70,256,1.0,1.0,0.0
kou,B,A,call_k=+0.00,1,0.366041,0.366041,0.0
kou,B,A,call_k=+0.00,2,0.38867,0.38867,0.0
kou,B,A,call_k=+0.00,3,0.934382,0.934382,0.0
kou,B,A,call_k=+0.00,5,0.97064,0.97064,0.0
kou,B,A,call_k=+0.00,10,0.996964,0.996964,0.0
kou,B,A,call_k=+0.00,20,0.999505,0.999505,0.0
kou,B,A,call_k=+0.00,50,0.999825,0.999825,0.0
kou,B,A,call_k=+0.00,256,1.0,1.0,0.0
kou,B,A,call_k=+0.05,1,0.38993,0.38993,0.0
kou,B,A,call_k=+0.05,2,0.413513,0.413513,0.0
kou,B,A,call_k=+0.05,3,0.932885,0.932885,0.0
kou,B,A,call_k=+0.05,5,0.971036,0.971036,0.0
kou,B,A,call_k=+0.05,10,0.996976,0.996976,0.0
kou,B,A,call_k=+0.05,20,0.999504,0.999504,0.0
kou,B,A,call_k=+0.05,50,0.999825,0.999825,0.0
kou,B,A,call_k=+0.05,256,1.0,1.0,0.0
kou,B,A,call_k=+0.10,1,0.407206,0.407206,0.0
kou,B,A,call_k=+0.10,2,0.431544,0.431544,0.0
kou,B,A,call_k=+0.10,3,0.929782,0.929782,0.0
kou,B,A,call_k=+0.10,5,0.97112,0.97112,0.0
kou,B,A,call_k=+0.10,10,0.996947,0.996947,0.0
kou,B,A,call_k=+0.10,20,0.999496,0.999496,0.0
kou,B,A,call_k=+0.10,50,0.999822,0.999822,0.0
kou,B,A,call_k=+0.10,256,1.0,1.0,0.0
kou,B,A,call_k=+0.15,1,0.418802,0.418802,0.0
kou,B,A,call_k=+0.15,2,0.443622,0.443622,0.0
kou,B,A,call_k=+0.15,3,0.924939,0.924939,0.0
kou,B,A,call_k=+0.15,5,0.970787,0.970787,0.0
kou,B,A,call_k=+0.15,10,0.996866,0.996866,0.0
kou,B,A,call_k=+0.15,20,0.99948,0.99948,0.0
kou,B,A,call_k=+0.15,50,0.999816,0.999816,0.0
kou,B,A,call_k=+0.15,256,1.0,1.0,0.0
kou,B,A,call_k=+0.20,1,0.425054,0.425054,0.0
kou,B,A,call_k=+0.20,2,0.450027,0.450027,0.0
kou,B,A,call_k=+0.20,3,0.918154,0.918154,0.0
kou,B,A,call_k=+0.20,5,0.969893,0.969893,0.0
kou,B,A,call_k=+0.20,10,0.996724,0.996724,0.0
kou,B,A,call_k=+0.20,20,0.999456,0.999456,0.0
kou,B,A,call_k=+0.20,50,0.999806,0.999806,0.0
kou,B,A,call_k=+0.20,256,1.0,1.0,0.0
kou,B,A,call_k=+0.30,1,0.423792,0.423792,0.0
kou,B,A,call_k=+0.30,2,0.448064,0.448064,0.0
kou,B,A,call_k=+0.30,3,0.898367,0.898367,0.0
kou,B,A,call_k=+0.30,5,0.965809,0.965809,0.0
kou,B,A,call_k=+0.30,10,0.996231,0.996231,0.0
kou,B,A,call_k=+0.30,20,0.999371,0.999371,0.0
kou,B,A,call_k=+0.30,50,0.999775,0.999775,0.0
kou,B,A,call_k=+0.30,256,1.0,1.0,0.0
kou,B,A,call_k=+0.50,1,0.385608,0.385608,0.0
kou,B,A,call_k=+0.50,2,0.405961,0.405961,0.0
kou,B,A,call_k=+0.50,3,0.836622,0.836622,0.0
kou,B,A,call_k=+0.50,5,0.945354,0.945354,0.0
kou,B,A,call_k=+0.50,10,0.994119,0.994119,0.0
kou,B,A,call_k=+0.50,20,0.998973,0.998973,0.0
kou,B,A,call_k=+0.50,50,0.999626,0.999626,0.0
kou,B,A,call_k=+0.50,256,1.0,1.0,0.0
kou,B,A,call_k=+0.60,1,0.358267,0.358267,0.0
kou,B,A,call_k=+0.60,2,0.376321,0.376321,0.0
kou,B,A,call_k=+0.60,3,0.797794,0.797794,0.0
kou,B,A,call_k=+0.60,5,0.927981,0.927981,0.0
kou,B,A,call_k=+0.60,10,0.991933,0.991933,0.0
kou,B,A,call_k=+0.60,20,0.998552,0.998552,0.0
kou,B,A,call_k=+0.60,50,0.99947,0.99947,0.0
kou,B,A,call_k=+0.60,256,1.0,1.0,0.0
kou,B,A,call_k=+0.70,1,0.329894,0.329894,0.0
kou,B,A,call_k=+0.70,2,0.345766,0.345766,0.0
kou,B,A,call_k=+0.70,3,0.755869,0.755869,0.0
kou,B,A,call_k=+0.70,5,0.905648,0.905648,0.0
kou,B,A,call_k=+0.70,10,0.988095,0.988095,0.0
kou,B,A,call_k=+0.70,20,0.997869,0.997869,0.0
kou,B,A,call_k=+0.70,50,0.999206,0.999206,0.0
kou,B,A,call_k=+0.70,256,1.0,1.0,0.0
kou,B,A,put_k=-0.05,1,0.853691,0.853691,0.0
kou,B,A,put_k=-0.05,2,0.891866,0.891866,0.0
kou,B,A,put_k=-0.05,3,0.974755,0.974755,0.0
kou,B,A,put_k=-0.05,5,0.998166,0.998166,0.0
kou,B,A,put_k=-0.05,10,0.999844,0.999844,0.0
kou,B,A,put_k=-0.05,20,0.999973,0.999973,0.0
kou,B,A,put_k=-0.05,50,0.999994,0.999994,0.0
kou,B,A,put_k=-0.05,256,1.0,1.0,0.0
kou,B,A,put_k=-0.10,1,0.858633,0.858633,0.0
kou,B,A,put_k=-0.10,2,0.903314,0.903314,0.0
kou,B,A,put_k=-0.10,3,0.97655,0.97655,0.0
kou,B,A,put_k=-0.10,5,0.99814,0.99814,0.0
kou,B,A,put_k=-0.10,10,0.999845,0.999845,0.0
kou,B,A,put_k=-0.10,20,0.999973,0.999973,0.0
kou,B,A,put_k=-0.10,50,0.999994,0.999994,0.0
kou,B,A,put_k=-0.10,256,1.0,1.0,0.0
kou,B,A,put_k=-0.15,1,0.858962,0.858962,0.0
kou,B,A,put_k=-0.15,2,0.912219,0.912219,0.0
kou,B,A,put_k=-0.15,3,0.977481,0.977481,0.0
kou,B,A,put_k=-0.15,5,0.998061,0.998061,0.0
kou,B,A,put_k=-0.15,10,0.999842,0.999842,0.0
kou,B,A,put_k=-0.15,20,0.999972,0.999972,0.0
kou,B,A,put_k=-0.15,50,0.999994,0.999994,0.0
kou,B,A,put_k=-0.15,256,1.0,1.0,0.0
kou,B,A,put_k=-0.20,1,0.85485,0.85485,0.0
kou,B,A,put_k=-0.20,2,0.918924,0.918924,0.0
kou,B,A,put_k=-0.20,3,0.977518,0.977518,0.0
kou,B,A,put_k=-0.20,5,0.997944,0.997944,0.0
kou,B,A,put_k=-0.20,10,0.999835,0.999835,0.0
kou,B,A,put_k=-0.20,20,0.99997,0.99997,0.0
kou,B,A,put_k=-0.20,50,0.999994,0.999994,0.0
kou,B,A,put_k=-0.20,256,1.0,1.0,0.0
kou,B,A,put_k=-0.30,1,0.834053,0.834053,0.0
kou,B,A,put_k=-0.30,2,0.926393,0.926393,0.0
kou,B,A,put_k=-0.30,3,0.974616,0.974616,0.0
kou,B,A,put_k=-0.30,5,0.997622,0.997622,0.0
kou,B,A,put_k=-0.30,10,0.999811,0.999811,0.0
kou,B,A,put_k=-0.30,20,0.999964,0.999964,0.0
kou,B,A,put_k=-0.30,50,0.999993,0.999993,0.0
kou,B,A,put_k=-0.30,256,1.0,1.0,0.0
kou,B,A,put_k=-0.50,1,0.750187,0.750187,0.0
kou,B,A,put_k=-0.50,2,0.919378,0.919378,0.0
kou,B,A,put_k=-0.50,3,0.954088,0.954088,0.0
kou,B,A,put_k=-0.50,5,0.996009,0.996009,0.0
kou,B,A,put_k=-0.50,10,0.99966,0.99966,0.0
kou,B,A,put_k=-0.50,20,0.999933,0.999933,0.0
kou,B,A,put_k=-0.50,50,0.999986,0.999986,0.0
kou,B,A,put_k=-0.50,256,1.0,1.0,0.0
kou,B,A,put_k=-0.60,1,0.692452,0.692452,0.0
kou,B,A,put_k=-0.60,2,0.90437,0.90437,0.0
kou,B,A,put_k=-0.60,3,0.934346,0.934346,0.0
kou,B,A,put_k=-0.60,5,0.99362,0.99362,0.0
kou,B,A,put_k=-0.60,10,0.999478,0.999478,0.0
kou,B,A,put_k=-0.60,20,0.999896,0.999896,0.0
kou,B,A,put_k=-0.60,50,0.999979,0.999979,0.0
kou,B,A,put_k=-0.60,256,1.0,1.0,0.0
kou,B,A,put_k=-0.70,1,0.62834,0.62834,0.0
kou,B,A,put_k=-0.70,2,0.881061,0.881061,0.0
kou,B,A,put_k=-0.70,3,0.907281,0.907281,0.0
kou,B,A,put_k=-0.70,5,0.988724,0.988724,0.0
kou,B,A,put_k=-0.70,10,0.999187,0.999187,0.0
kou,B,A,put_k=-0.70,20,0.999828,0.999828,0.0
kou,B,A,put_k=-0.70,50,0.999965,0.999965,0.0
kou,B,A,put_k=-0.70,256,1.0,1.0,0.0
kou,C,A,call_k=+0.00,1,0.349121,0.349121,0.0
kou,C,A,call_k=+0.00,2,0.355951,0.355951,0.0
kou,C,A,call_k=+0.00,3,0.928565,0.928565,0.0
kou,C,A,call_k=+0.00,5,0.967897,0.967897,0.0
kou,C,A,call_k=+0.00,10,0.996788,0.996788,0.0
kou,C,A,call_k=+0.00,20,0.99926,0.99926,0.0
kou,C,A,call_k=+0.00,50,0.999784,0.999784,0.0
kou,C,A,call_k=+0.00,256,1.0,1.0,0.0
kou,C,A,call_k=+0.05,1,0.373036,0.373036,0.0
kou,C,A,call_k=+0.05,2,0.38059,0.38059,0.0
kou,C,A,call_k=+0.05,3,0.926765,0.926765,0.0
kou,C,A,call_k=+0.05,5,0.968331,0.968331,0.0
kou,C,A,call_k=+0.05,10,0.996796,0.996796,0.0
kou,C,A,call_k=+0.05,20,0.999257,0.999257,0.0
kou,C,A,call_k=+0.05,50,0.999783,0.999783,0.0
kou,C,A,call_k=+0.05,256,1.0,1.0,0.0
kou,C,A,call_k=+0.10,1,0.390439,0.390439,0.0
kou,C,A,call_k=+0.10,2,0.398571,0.398571,0.0
kou,C,A,call_k=+0.10,3,0.923264,0.923264,0.0
kou,C,A,call_k=+0.10,5,0.968442,0.968442,0.0
kou,C,A,call_k=+0.10,10,0.996763,0.996763,0.0
kou,C,A,call_k=+0.10,20,0.999243,0.999243,0.0
kou,C,A,call_k=+0.10,50,0.999779,0.999779,0.0
kou,C,A,call_k=+0.10,256,1.0,1.0,0.0
kou,C,A,call_k=+0.15,1,0.402202,0.402202,0.0
kou,C,A,call_k=+0.15,2,0.410715,0.410715,0.0
kou,C,A,call_k=+0.15,3,0.91792,0.91792,0.0
kou,C,A,call_k=+0.15,5,0.968113,0.968113,0.0
kou,C,A,call_k=+0.15,10,0.996678,0.996678,0.0
kou,C,A,call_k=+0.15,20,0.999219,0.999219,0.0
kou,C,A,call_k=+0.15,50,0.999771,0.999771,0.0
kou,C,A,call_k=+0.15,256,1.0,1.0,0.0
kou,C,A,call_k=+0.20,1,0.408633,0.408633,0.0
kou,C,A,call_k=+0.20,2,0.417285,0.417285,0.0
kou,C,A,call_k=+0.20,3,0.910519,0.910519,0.0
kou,C,A,call_k=+0.20,5,0.967191,0.967191,0.0
kou,C,A,call_k=+0.20,10,0.996529,0.996529,0.0
kou,C,A,call_k=+0.20,20,0.999182,0.999182,0.0
kou,C,A,call_k=+0.20,50,0.99976,0.99976,0.0
kou,C,A,call_k=+0.20,256,1.0,1.0,0.0
kou,C,A,call_k=+0.30,1,0.407718,0.407718,0.0
kou,C,A,call_k=+0.30,2,0.415922,0.415922,0.0
kou,C,A,call_k=+0.30,3,0.889176,0.889176,0.0
kou,C,A,call_k=+0.30,5,0.962914,0.962914,0.0
kou,C,A,call_k=+0.30,10,0.996012,0.996012,0.0
kou,C,A,call_k=+0.30,20,0.999055,0.999055,0.0
kou,C,A,call_k=+0.30,50,0.999721,0.999721,0.0
kou,C,A,call_k=+0.30,256,1.0,1.0,0.0
kou,C,A,call_k=+0.50,1,0.370354,0.370354,0.0
kou,C,A,call_k=+0.50,2,0.376007,0.376007,0.0
kou,C,A,call_k=+0.50,3,0.823618,0.823618,0.0
kou,C,A,call_k=+0.50,5,0.941525,0.941525,0.0
kou,C,A,call_k=+0.50,10,0.99381,0.99381,0.0
