seed,coupling,pair,payoff,kurt,kurt_nonfisher,skew,lilliefors_rej,ad_rej,ratio,sigma_delta,mu_delta,abs_s,atom
1,coupled,B,OTM_put_0.90,0.1257,3.1257,0.1296,False,False,1.0142,0.00011037,-0.00153336,13.8927,0.0
1,independent,B,ATM_call,0.0687,3.0687,-0.0336,False,False,0.9695,0.00454028,-0.00155387,0.3422,0.0
1,independent,B,OTM_call_1.10,0.0274,3.0274,-0.0394,False,False,0.9711,0.00451619,-0.00156458,0.3464,0.0
1,independent,B,OTM_call_1.25,0.0185,3.0185,-0.0485,False,False,0.9575,0.00413126,-0.0013967,0.3381,0.0
1,independent,B,OTM_put_0.90,0.1607,3.1607,-0.2406,False,False,0.9145,0.00392975,-0.00138532,0.3525,0.0
1,coupled,C,ATM_call,2.9445,5.9445,-1.1159,True,True,1.0259,0.00040051,-0.00319774,7.9842,0.0
1,coupled,C,OTM_call_1.10,2.5939,5.5939,-1.0324,True,True,1.0254,0.00038059,-0.00327266,8.5989,0.0
1,coupled,C,OTM_call_1.25,2.5423,5.5423,-1.0492,True,True,1.0248,0.00032401,-0.00297452,9.1803,0.0
1,coupled,C,OTM_put_0.90,0.3234,3.3234,0.2804,False,False,1.0132,0.00021495,-0.00307123,14.288,0.0
1,independent,C,ATM_call,0.1356,3.1356,-0.0154,False,False,0.9499,0.00453657,-0.00314514,0.6933,0.0
1,independent,C,OTM_call_1.10,0.0961,3.0961,-0.0224,False,False,0.9425,0.00451946,-0.00319534,0.707,0.0
1,independent,C,OTM_call_1.25,0.0828,3.0828,-0.0345,False,False,0.9567,0.00414827,-0.00288415,0.6953,0.0
1,independent,C,OTM_put_0.90,0.1698,3.1698,-0.2332,False,False,0.9222,0.003923,-0.00292168,0.7448,0.0
1,coupled,D,ATM_call,0.077,3.077,-0.3524,False,False,1.0121,0.00069601,-0.00933707,13.4151,0.0
1,coupled,D,OTM_call_1.10,0.0455,3.0455,-0.3261,False,False,1.0126,0.00067247,-0.00957641,14.2406,0.0
1,coupled,D,OTM_call_1.25,-0.0266,2.9734,-0.2959,False,False,1.0126,0.0005899,-0.00879732,14.9132,0.0
1,coupled,D,OTM_put_0.90,0.1877,3.1877,0.1188,False,False,1.0122,0.00052704,-0.00916576,17.3912,0.0
1,independent,D,ATM_call,0.2756,3.2756,-0.0126,False,False,0.9707,0.00460026,-0.0092023,2.0004,0.0
1,independent,D,OTM_call_1.10,0.2461,3.2461,-0.0236,False,False,0.9759,0.00459667,-0.00942118,2.0496,0.0
1,independent,D,OTM_call_1.25,0.235,3.235,-0.0434,False,False,0.9816,0.00425508,-0.00864204,2.031,0.0
1,independent,D,OTM_put_0.90,0.1768,3.1768,-0.1893,False,False,0.9878,0.00386657,-0.00899737,2.327,0.0
2,coupled,A,ATM_call,-0.001,2.999,-0.1497,False,False,0.9857,4.952e-05,-0.0003744,7.56,0.0
