width,pair,payoff,kurt,skew,lilliefors_rej,ad_rej,ratio,sigma_delta,mu_delta
1024,A,OTM_put_0.90,1.1089,-0.5267,True,True,0.9932,1.904e-05,-0.00030545
1024,B,ATM_call,0.0974,-0.386,False,False,1.0049,0.00016542,-0.00175496
1024,B,OTM_call_1.10,0.0753,-0.3921,False,False,1.0026,0.00015935,-0.00178597
1024,B,OTM_call_1.25,0.0677,-0.3879,False,False,0.9995,0.00013642,-0.00162073
1024,B,OTM_put_0.90,1.0436,-0.5131,False,True,0.9882,8.765e-05,-0.00152981
1024,C,ATM_call,0.4218,-0.5334,False,True,1.013,0.00032695,-0.00346994
1024,C,OTM_call_1.10,0.4047,-0.5356,False,True,1.0099,0.00031378,-0.00353529
1024,C,OTM_call_1.25,0.375,-0.5278,False,True,1.006,0.00026931,-0.00321773
1024,C,OTM_put_0.90,0.9726,-0.4468,True,True,0.987,0.00015875,-0.00305035
1024,D,ATM_call,1.245,-0.8169,False,True,1.0149,0.00084075,-0.01008651
1024,D,OTM_call_1.10,1.1388,-0.7861,False,True,1.0114,0.00079388,-0.01031161
1024,D,OTM_call_1.25,1.1274,-0.7731,False,True,1.0076,0.00067574,-0.00947668
1024,D,OTM_put_0.90,0.5948,-0.1271,False,False,0.9851,0.00039361,-0.0090422
