family,gamma1,gamma2,s,mu,sigma,E_true,m_folded,delta,delta_rel,ratio_true,W1,bound_ok,slack,C3,C4,E_edge,edge_valid,edge_capture,ratio_edge
t5,0.0,6.0,0.0,0.0,1.0,0.7351051938957227,0.7978845608028654,-0.0627793669071427,-0.08540188183740159,0.9213177319235611,0.10203076384655857,True,0.6152984113845797,0.0,-0.7978845608028655,0.598413420602149,True,-1.1773359628770272,0.7499999999999999
t5,0.0,6.0,0.05,0.05,1.0,0.7363298590692375,0.7988817087733653,-0.06255184970412775,-0.08495085311791759,0.9217007361450642,0.10203076384655857,True,0.6130685231191434,-0.03984439140947664,-0.7948956086190542,0.6001578066186017,True,-1.1769468544053288,0.7512473999938087
t5,0.0,6.0,0.1,0.1,1.0,0.7399977490691447,0.8018706624094294,-0.06187291334028466,-0.08361229938620167,0.9228392853850378,0.10203076384655857,True,0.6064142912164584,-0.07939050949540263,-0.7859660440044833,0.6053791514083086,True,-1.1757274773933704,0.7549585984219563
t5,0.0,6.0,0.15,0.15,1.0,0.7460906685851811,0.8068439695268507,-0.06075330094166953,-0.08142884437474147,0.9247025407188747,0.10203076384655857,True,0.5954410086847419,-0.11834379927236649,-0.771207091924923,0.61404219654562,True,-1.173519298422049,0.7610420598492005
t5,0.0,6.0,0.25,0.25,1.0,0.7654207414743168,0.8226893964471603,-0.0572686549728435,-0.0748198368162004,0.9303884853504104,0.10203076384655857,True,0.5612881136415714,-0.19333405840142454,-0.7250027190053427,0.6414387166958246,True,-1.1649194456772873,0.7796851636424647
t5,0.0,6.0,0.4,0.4,1.0,0.8115106161593557,0.860877673894906,-0.04936705773555028,-0.06083353286145564,0.9426549680256002,0.10203076384655857,True,0.48384483144507395,-0.2946161122426585,-0.6186938357095833,0.7062042149675102,True,-1.133130999136133,0.8203305026745553
t5,0.0,6.0,0.6,0.6,1.0,0.9018631982887875,0.9373454644835111,-0.03548226619472361,-0.039343290935973815,0.96214600962061,0.10203076384655857,True,0.34776046808866856,-0.39986952347015975,-0.42652749170150395,0.8307135915581351,True,-1.0052159673282848,0.8862405836847661
t5,0.0,6.0,0.8,0.8,1.0,1.0200967676340704,1.0404144677895306,-0.020317700155460194,-0.019917424307287452,0.9804715324666454,0.10203076384655857,True,0.19913307898013444,-0.4635064844183726,-0.2085779179882679,0.9882699882924636,True,-0.5664558044505679,0.9498810511469977
t5,0.0,6.0,1.0,1.0,1.0,1.1603266764660214,1.1666309411753726,-0.006304264709351193,-0.005433180876744072,0.9945961790598493,0.10203076384655857,True,0.061787881141731074,-0.48394144903828695,2.4399969891786277e-16,1.1666309411753726,True,0.0,1.0
t5,0.0,6.0,1.5,1.5,1.0,1.574184312930321,1.5586135875252092,0.01557072540511184,0.00989129752927544,1.0099901127064055,0.10203076384655857,True,0.15260814305505202,-0.38855278699767537,0.3237939891647291,1.6395620848163914,True,-3.198762111918499,1.0519362194318564
t5,0.0,6.0,2.0,2.0,1.0,2.03639314598048,2.0169814052336594,0.019411740746820616,0.009532413122258018,1.0096241545392788,0.10203076384655857,True,0.1902538020396812,-0.2159638660527523,0.3239457990791286,2.0979678550034415,True,-2.172034379917555,1.0401523036155111
t5,0.0,6.0,3.0,3.0,1.0,3.0107696416066188,3.000764308634096,0.010005332972522929,0.0033231811674518693,1.003334261522551,0.10203076384655857,True,0.09806192363285343,-0.02659109047162794,0.07090957459100765,3.018491702281848,True,0.22820552834815977,1.0059076261326974
t5,0.0,6.0,5.0,5.0,1.0,5.001799080408031,5.00000010692331,0.0017989734847203565,0.0003596652835910398,1.00035979468925,0.10203076384655857,True,0.017631677122654753,-1.4867195146263237e-05,7.136253670787438e-05,5.000017947557487,True,0.00991711902850212,1.0000035681267592
t6,0.0,3.0,0.0,0.0,1.0,0.75,0.7978845608028654,-0.047884560802865406,-0.06384608107048721,0.9399856029866251,0.08043768250226532,True,0.5953001045438729,0.0,-0.7978845608028655,0.6981489907025072,True,-0.0828335569570473,0.875
t6,0.0,3.0,0.05,0.05,1.0,0.7511714479940848,0.7988817087733653,-0.04771026077928053,-0.06351447583196244,0.9402786917570853,0.08043768250226532,True,0.5931332094001701,-0.03984439140947664,-0.7948956086190542,0.6995197576959835,True,-0.08261177898512728,0.8756236999969044
t6,0.0,3.0,0.1,0.1,1.0,0.7546806794056891,0.8018706624094294,-0.04718998300374033,-0.06252973514692656,0.9411501315412317,0.08043768250226532,True,0.5866651243018015,-0.07939050949540263,-0.7859660440044833,0.7036249069088689,True,-0.0819197051368592,0.8774792992109781
t6,0.0,3.0,0.15,0.15,1.0,0.7605124423015924,0.8068439695268507,-0.04633152722525824,-0.06092145854319211,0.9425768438816888,0.08043768250226532,True,0.5759928156054649,-0.11834379927236649,-0.771207091924923,0.7104430830362353,True,-0.08067577876131815,0.8805210299246001
t6,0.0,3.0,0.25,0.25,1.0,0.7790335445545284,0.8226893964471603,-0.04365585189263188,-0.05603847510519644,0.9469351956143319,0.08043768250226532,True,0.5427288620778256,-0.19333405840142454,-0.7250027190053427,0.7320640565714924,True,-0.0759035947472464,0.8898425818212322
t6,0.0,3.0,0.4,0.4,1.0,0.8233106211666457,0.860877673894906,-0.03756705272826033,-0.045629257976809716,0.9563619154411404,0.08043768250226532,True,0.4670330069144191,-0.2946161122426585,-0.6186938357095833,0.783540944431208,True,-0.0586318022632728,0.9101652513372777
t6,0.0,3.0,0.6,0.6,1.0,0.9105500887579424,0.9373454644835111,-0.02679537572556867,-0.029427679000195963,0.9714135537634108,0.08043768250226532,True,0.33311968833530287,-0.39986952347015975,-0.42652749170150395,0.8840295280208231,True,0.010256060271890743,0.9431202918423831
t6,0.0,3.0,0.8,0.8,1.0,1.0254864968639605,1.0404144677895306,-0.014927970925570078,-0.014556964885662847,0.9856518999036162,0.08043768250226532,True,0.18558429906467866,-0.4635064844183726,-0.2085779179882679,1.014342228040997,True,0.25346392496822845,0.9749405255734989
t6,0.0,3.0,1.0,1.0,1.0,1.1627553482998907,1.1666309411753726,-0.0038755928754818925,-0.0033331112010351496,0.9966779615226241,0.08043768250226532,True,0.048181309492261244,-0.48394144903828695,2.4399969891786277e-16,1.1666309411753726,True,0.0,1.0
t6,0.0,3.0,1.5,1.5,1.0,1.5720000000000003,1.5586135875252092,0.01338641247479111,0.00851552956411648,1.0085886666085377,0.08043768250226532,True,0.16641966872198383,-0.38855278699767537,0.3237939891647291,1.5990878361708003,True,-1.0235321615713708,1.0259681097159281
t6,0.0,3.0,2.0,2.0,1.0,2.0329319959113246,2.0169814052336594,0.015950590677665133,0.007846101448422916,1.007908149592394,0.08043768250226532,True,0.19829749169135902,-0.2159638660527523,0.3239457990791286,2.0574746301185507,True,-0.5386661662374697,1.0200761518077557
t6,0.0,3.0,3.0,3.0,1.0,3.0081818333752812,3.000764308634096,0.0074175247411853995,0.002465783370835229,1.002471878487705,0.08043768250226532,True,0.09221455057430955,-0.02659109047162794,0.07090957459100765,3.0096280054579716,True,0.8050330624904307,1.0029538130663485
