model,pair,lam_max_eta,tr_eta_dy,reff_eta,top1_share,top3_share,top10_share,reff_k11,gain_sq_dhat,gain_sq_dana,gain_lin_dhat,gain_lin_dana
heston,A,1.3200763562405824e-06,6.572899417106667e-08,2.1498358801940927,0.6716943988259544,0.822702611533609,0.9054451427930814,15.150877182878412,5.4764271158766515,5.723401949917944,2.340176727488044,2.392363256263134
heston,B,3.046365346342689e-05,1.5340897935447476e-06,2.195215525176658,0.6641418791629173,0.8172564204391739,0.9026779008487706,15.150877182878412,5.064584188100666,5.49603653733502,2.2504631052520425,2.344362714542061
heston,C,0.00010543662044170311,5.462826082622177e-06,2.3114501981298083,0.6455111725488055,0.8052487830872268,0.8959400804796332,15.150877182878412,5.263381675878246,5.865781727090668,2.2942061101562445,2.4219375976871635
heston,D,0.0004715963414225657,2.8481802704517913e-05,3.0527638528768564,0.5537740672412047,0.7322393675956151,0.8575999810966591,15.150877182878412,6.266415738501316,7.138975368663523,2.5032809947149994,2.6718861069782753
kou,A,1.6602215334791404e-06,6.261263966748316e-08,1.426462829020015,0.8318668837329396,0.9565873127611147,0.9986656505470676,1.6262693228200689,2.439208196266234,2.6870301546129696,1.5617964644172537,1.6392163233121397
kou,B,3.734727257844763e-05,1.4172752491499855e-06,1.4423767412543986,0.8267124825743748,0.9563400073380902,0.9985923330727479,1.6262693228200689,2.5293203645395934,2.908956134129227,1.5903837161325545,1.705566220974497
kou,C,0.00012746754276040677,4.900612790668242e-06,1.4772903428386681,0.8160166706650801,0.9534523672909676,0.9984496537253104,1.6262693228200689,2.5624103691197946,2.867755089464934,1.6007530631299116,1.693444740599744
kou,D,0.0006913426072894402,2.7726099280427156e-05,1.5943261397891364,0.7822658217141474,0.9420346638308659,0.9979120160798947,1.6262693228200689,2.6541262062997215,2.886926895897052,1.6291489208478522,1.699095905444143
