model,pair,snr2_atm,snr2_gstar,gain_sq,sigma_atm,sigma_gstar,delta_atm,delta_gstar,b_delta_atm,b_delta_gstar,s_atm,s_gstar,mr_emp_atm,mr_emp_gstar,mr_theory_atm,mr_theory_gstar,deviation_atm_pct,deviation_gstar_pct,residual_atm_pct,residual_gstar_pct,predicted_reduction_from_sqrt_gain,actual_reduction
heston,A,60.396343,330.756171,5.4764,4.635282002473508e-05,0.009300853009719987,-0.00032995158206299615,0.161064612520048,-3.0279748832905527e-05,0.008087240032818339,-7.771508415316971,18.186703131002265,0.0003569943594881634,0.16745209426578023,0.0003602313308959017,0.16915185255286633,8.196,3.9658,0.981,1.0553,0.4273,0.4839
heston,B,60.087024,304.315791,5.0646,0.0002327097014091635,0.010176122043236735,-0.0016421740919256723,0.16857106224355117,-0.0001616942466617312,0.008947818600243941,-7.75158202543408,17.4446493555743,0.0017818384454096545,0.17533526794711435,0.0018038683385874037,0.17751888084379513,8.5048,4.0127,1.3415,1.2954,0.4444,0.4718
heston,C,57.181709,300.969159,5.2634,0.00047615722905284467,0.011074905319771127,-0.003265751445223251,0.1823813948549248,-0.0003348823037838564,0.00975118745280526,-7.561858834253892,17.348462741684248,0.0035743578959162537,0.1909838140366873,0.00360063374900711,0.1921325823077301,9.4498,4.7167,0.8046,0.6299,0.4359,0.4991
heston,D,69.389537,434.823688,6.2664,0.001265253531592482,0.015117750886995357,-0.00958505996244208,0.29902202016143387,-0.0009545503462837321,0.01621976793344571,-8.33003824574224,20.852426425815626,0.010421858187911748,0.3154946470616053,0.010539610308725812,0.31524178809487957,8.7302,5.5088,1.2285,0.0846,0.3995,0.631
kou,A,33.676498,82.143989,2.4392,5.68080100938648e-05,0.00463259517280516,-0.0002777814421048228,0.037136615255558274,-5.188370654869096e-05,0.004850133458842876,-5.803145509036536,9.063332138512129,0.0003158051234181607,0.0425465311399139,0.0003296651487139049,0.041986748714401154,13.6883,14.5676,4.9895,1.5074,0.6403,1.0642
kou,B,32.716421,82.750309,2.5293,0.00028902973598609417,0.005026375503389264,-0.0013928656015801595,0.0402663336220962,-0.0002603344771640273,0.005457195291594424,-5.7198269690275945,9.09671967063731,0.0015930264104399223,0.04606885931289326,0.0016532000792542183,0.04572352891369062,14.3704,14.4104,4.3201,0.8576,0.6288,1.0028
kou,C,37.777395,96.801188,2.5624,0.0005398990297472038,0.005478238049090737,-0.0027954269045151327,0.047385560327308486,-0.0005229716709960812,0.006513506082684888,-6.146331800346045,9.83875945641672,0.0031885651312686353,0.05419269342398389,0.003318398575577591,0.05389906640999337,14.0636,14.3654,4.6445,0.6197,0.6247,1.0215
kou,D,42.342985,112.383626,2.6541,0.0015244514860557523,0.008421867576159937,-0.008497535986329513,0.07886970446026628,-0.0014222966148741186,0.010411477045408714,-6.507148762647369,10.601114384463397,0.00977774520033069,0.0899110152875589,0.009919832601220813,0.08928118150567499,15.0657,13.9994,1.6721,0.7986,0.6138,0.9292
