block,config_id,payoff,n_cal,n_test,r_eff,sigma_delta,mu_delta,theory_mr,empirical_mr,ratio,in_range,exp,pair,proto_pair,axis,step,diag,scale,window,clipped,n_seeds,scenario
Exp02,Exp02-F5,ATM,150,50,2.092,3e-05,-0.0002539,0.0002539,0.00024835,0.9781,True,exp02,F5,,,,,,,,,
Exp02,Exp02-F5,OTM_K110,150,50,2.092,2.9e-05,-0.00025781,0.00025781,0.00025267,0.9801,True,exp02,F5,,,,,,,,,
Exp02,Exp02-F5,OTM_K125,150,50,2.092,2.4e-05,-0.00023302,0.00023302,0.00022868,0.9814,True,exp02,F5,,,,,,,,,
Exp02,Exp02-G1,ATM,150,50,1.754,2.8e-05,-9.425e-05,9.426e-05,9.473e-05,1.005,True,exp02,G1,,,,,,,,,
Exp02,Exp02-G1,OTM_K110,150,50,1.754,2.7e-05,-9.949e-05,9.949e-05,0.00010043,1.0094,True,exp02,G1,,,,,,,,,
Exp02,Exp02-G1,OTM_K125,150,50,1.754,2.4e-05,-9.426e-05,9.426e-05,9.533e-05,1.0114,True,exp02,G1,,,,,,,,,
Exp02,Exp02-G2,ATM,150,50,3.231,4.5e-05,-7.795e-05,7.95e-05,7.693e-05,0.9676,True,exp02,G2,,,,,,,,,
Exp02,Exp02-G2,OTM_K110,150,50,3.231,4.5e-05,-0.00010181,0.00010215,0.00010192,0.9977,True,exp02,G2,,,,,,,,,
Exp02,Exp02-G2,OTM_K125,150,50,3.231,4.1e-05,-0.00012769,0.00012771,0.00012918,1.0115,True,exp02,G2,,,,,,,,,
Exp02,Exp02-G3,ATM,150,50,2.266,0.000141,-0.0011264,0.0011264,0.00112935,1.0026,True,exp02,G3,,,,,,,,,
Exp02,Exp02-G3,OTM_K110,150,50,2.266,0.000134,-0.00115133,0.00115133,0.00115633,1.0043,True,exp02,G3,,,,,,,,,
Exp02,Exp02-G3,OTM_K125,150,50,2.266,0.000112,-0.00105321,0.00105321,0.00105889,1.0054,True,exp02,G3,,,,,,,,,
Exp03,Exp03-AA-A,ATM,150,50,2.117,4.3e-05,-0.00036254,0.00036254,0.00035532,0.9801,True,exp03,A,AA,,,,,,,,
Exp03,Exp03-AA-A,OTM_K110,150,50,2.117,4.1e-05,-0.00036813,0.00036813,0.00036147,0.9819,True,exp03,A,AA,,,,,,,,
Exp03,Exp03-AA-A,OTM_K125,150,50,2.117,3.4e-05,-0.00033278,0.00033278,0.00032717,0.9831,True,exp03,A,AA,,,,,,,,
Exp03,Exp03-AA-B,ATM,150,50,2.251,0.000207,-0.00181652,0.00181652,0.00179077,0.9858,True,exp03,B,AA,,,,,,,,
Exp03,Exp03-AA-B,OTM_K110,150,50,2.251,0.000197,-0.00184429,0.00184429,0.00182086,0.9873,True,exp03,B,AA,,,,,,,,
Exp03,Exp03-AA-B,OTM_K125,150,50,2.251,0.000164,-0.00166973,0.00166973,0.00164958,0.9879,True,exp03,B,AA,,,,,,,,
Exp03,Exp03-AA-C,ATM,150,50,2.281,0.000391,-0.00363955,0.00363955,0.00354864,0.975,True,exp03,C,AA,,,,,,,,
Exp03,Exp03-AA-C,OTM_K110,150,50,2.281,0.000376,-0.00369454,0.00369454,0.00360969,0.977,True,exp03,C,AA,,,,,,,,
Exp03,Exp03-AA-C,OTM_K125,150,50,2.281,0.000318,-0.00335061,0.00335061,0.00327783,0.9783,True,exp03,C,AA,,,,,,,,
Exp03,Exp03-AA-D,ATM,150,50,2.774,0.000922,-0.01064748,0.01064748,0.01032022,0.9693,True,exp03,D,AA,,,,,,,,
Exp03,Exp03-AA-D,OTM_K110,150,50,2.774,0.000884,-0.01082875,0.01082875,0.01051924,0.9714,True,exp03,D,AA,,,,,,,,
Exp03,Exp03-AA-D,OTM_K125,150,50,2.774,0.000768,-0.00990366,0.00990366,0.00964122,0.9735,True,exp03,D,AA,,,,,,,,
Exp03,Exp03-AA-E,ATM,150,50,7.945,0.001028,-0.03151727,0.03151727,0.03144407,0.9977,True,exp03,E,AA,,,,,,,,
Exp03,Exp03-AA-E,OTM_K110,150,50,7.945,0.00096,-0.03237274,0.03237274,0.03228345,0.9972,True,exp03,E,AA,,,,,,,,
Exp03,Exp03-AA-E,OTM_K125,150,50,7.945,0.00085,-0.0304044,0.0304044,0.03031607,0.9971,True,exp03,E,AA,,,,,,,,
Exp03,Exp03-AB1-A,ATM,24,6,7.504,0.002313,-0.00028701,0.00185973,0.0020434,1.0988,True,exp03,A,AB1,,,,,,,,
Exp03,Exp03-AB1-A,OTM_K110,24,6,7.504,0.002432,-0.00047734,0.00197792,0.00215846,1.0913,True,exp03,A,AB1,,,,,,,,
Exp03,Exp03-AB1-A,OTM_K125,24,6,7.504,0.002242,-0.00059726,0.00185159,0.00183927,0.9933,True,exp03,A,AB1,,,,,,,,
Exp03,Exp03-AB1-B,ATM,24,6,7.431,0.002383,-0.00162984,0.00232932,0.00255489,1.0968,True,exp03,B,AB1,,,,,,,,
Exp03,Exp03-AB1-B,OTM_K110,24,6,7.431,0.002491,-0.0018599,0.00251696,0.00263055,1.0451,True,exp03,B,AB1,,,,,,,,
Exp03,Exp03-AB1-B,OTM_K125,24,6,7.431,0.002285,-0.00185982,0.00239564,0.00226951,0.9473,True,exp03,B,AB1,,,,,,,,
Exp03,Exp03-AB1-C,ATM,24,6,7.341,0.002481,-0.00332357,0.00353099,0.00387721,1.0981,True,exp03,C,AB1,,,,,,,,
Exp03,Exp03-AB1-C,OTM_K110,24,6,7.341,0.002574,-0.00360137,0.00379037,0.00391597,1.0331,True,exp03,C,AB1,,,,,,,,
