config_id,block,payoff,ratio_b5,ratio_V1,V2_median,V2_q10,V2_q90,n_cal,n_test
Exp01-A,Exp01,ATM,0.9801,0.9800981073404171,1.0001721005059694,1.0000032694510748,1.000598976062701,150,50
Exp01-A,Exp01,OTM_K110,0.9819,0.9819250082383257,1.0001024310744986,1.0000299717764591,1.0004450091241635,150,50
Exp01-A,Exp01,OTM_K125,0.9831,0.9831376782548945,1.000025128352648,1.0000019221404362,1.0002251930871173,150,50
Exp01-B,Exp01,ATM,0.9858,0.9858230474080473,1.0000762014071758,1.0000163795017245,1.0006151653956228,150,50
Exp01-B,Exp01,OTM_K110,0.9873,0.9872945382530055,1.000067039463726,1.000005230457459,1.0002234756261381,150,50
Exp01-B,Exp01,OTM_K125,0.9879,0.9879304681157798,1.0001124053416697,1.0000334808268978,1.0004380284685168,150,50
Exp01-C,Exp01,ATM,0.975,0.9750234854577433,1.0001447446352698,1.0000222189869719,1.0003563889688456,150,50
Exp01-C,Exp01,OTM_K110,0.977,0.9770321439591878,1.0000647467946155,1.0000130774089238,1.0003003229112442,150,50
Exp01-C,Exp01,OTM_K125,0.9783,0.9782799925677937,1.000054867187183,1.0000003084351834,1.0003331617518105,150,50
Exp01-D,Exp01,ATM,0.9693,0.9692644458104419,1.0000581998381275,1.0000005056028354,1.000323410169913,150,50
Exp01-D,Exp01,OTM_K110,0.9714,0.9714182067420337,1.000044220790806,1.0000068101553208,1.000218519592277,150,50
Exp01-D,Exp01,OTM_K125,0.9735,0.9735009876932809,1.0000265306457787,1.0000029835644595,1.0001055679558095,150,50
Exp01-E,Exp01,ATM,0.9977,0.9976776703406413,1.0000110413836885,1.0000002092064624,1.000049099758344,150,50
Exp01-E,Exp01,OTM_K110,0.9972,0.9972417997922352,1.0000094610032628,1.0000003683666183,1.0000432190359596,150,50
Exp01-E,Exp01,OTM_K125,0.9971,0.9970947739001695,1.0000139948341193,1.0000003204631067,1.000039743629071,150,50
Exp02-A,Exp02,ATM,0.9801,0.9800981073404171,1.0000421844350627,1.0000041084983353,1.0001571451063642,150,50
Exp02-A,Exp02,OTM_K110,0.9819,0.9819250082383257,1.0000367365888185,1.0000019229699637,1.000234984861264,150,50
Exp02-A,Exp02,OTM_K125,0.9831,0.9831376782548945,1.0001168126644768,1.0000052478893033,1.0003015879692918,150,50
Exp02-B,Exp02,ATM,0.9858,0.9858230474080473,1.000059127008808,1.0000129239019901,1.0002555268059374,150,50
Exp02-B,Exp02,OTM_K110,0.9873,0.9872945382530055,1.0000996959938853,1.0000035835612313,1.000661037872137,150,50
Exp02-B,Exp02,OTM_K125,0.9879,0.9879304681157798,1.0000636013148527,1.0000049866800549,1.0003593180168147,150,50
Exp02-C,Exp02,ATM,0.975,0.9750234854577433,1.0000811416306068,1.0000002386575337,1.0005311368103946,150,50
Exp02-C,Exp02,OTM_K110,0.977,0.9770321439591878,1.000145737414305,1.0000010788908227,1.000275964519305,150,50
Exp02-C,Exp02,OTM_K125,0.9783,0.9782799925677937,1.0000845308305286,1.0000021789961693,1.0003049159793653,150,50
Exp02-D,Exp02,ATM,0.9693,0.9692644458104419,1.0000628873704291,1.0000155913966544,1.000220753138878,150,50
Exp02-D,Exp02,OTM_K110,0.9714,0.9714182067420337,1.0000383509814263,1.0000024089351303,1.0002856531017128,150,50
Exp02-D,Exp02,OTM_K125,0.9735,0.9735009876932809,1.0000652492050686,1.0000048963499117,1.0001837634789423,150,50
Exp02-E,Exp02,ATM,0.9977,0.9976776703406413,1.0000112456005632,1.000000138115629,1.000051990783852,150,50
Exp02-E,Exp02,OTM_K110,0.9972,0.9972417997922352,1.0000026978485848,1.0000000765938593,1.0000358982033897,150,50
Exp02-E,Exp02,OTM_K125,0.9971,0.9970947739001695,1.000011316179147,1.0000003984164052,1.0000336678265402,150,50
Exp02-F1,Exp02,ATM,0.9757,0.9757276964060851,1.0000774578567782,1.0000043061767152,1.0004660698813737,150,50
Exp02-F1,Exp02,OTM_K110,0.9777,0.9777126005700625,1.0000603669184625,1.0000017547180309,1.0002206093141264,150,50
Exp02-F1,Exp02,OTM_K125,0.979,0.9790268283393048,1.0000577934946797,1.0000032213864496,1.0003815723766425,150,50
Exp02-F2,Exp02,ATM,0.9755,0.9754850622111836,1.0001401966803103,1.0000102071461436,1.0005248881098407,150,50
Exp02-F2,Exp02,OTM_K110,0.9775,0.9775232045421309,1.0002081738187294,1.0000079358815828,1.0007124660198023,150,50
