key,block,config_id,payoff,n_cal,n_test_lo,n_test_hi,n_seeds
Exp05_diag__Exp05dg-vxi_s2__OTM_K125,Exp05_diag,Exp05dg-vxi_s2,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vxi_s4__ATM,Exp05_diag,Exp05dg-vxi_s4,ATM,150,150,200,200
Exp05_diag__Exp05dg-vxi_s4__OTM_K110,Exp05_diag,Exp05dg-vxi_s4,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vxi_s4__OTM_K125,Exp05_diag,Exp05dg-vxi_s4,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vxi_s8__ATM,Exp05_diag,Exp05dg-vxi_s8,ATM,150,150,200,200
Exp05_diag__Exp05dg-vxi_s8__OTM_K110,Exp05_diag,Exp05dg-vxi_s8,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vxi_s8__OTM_K125,Exp05_diag,Exp05dg-vxi_s8,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vxi_s16__ATM,Exp05_diag,Exp05dg-vxi_s16,ATM,150,150,200,200
Exp05_diag__Exp05dg-vxi_s16__OTM_K110,Exp05_diag,Exp05dg-vxi_s16,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vxi_s16__OTM_K125,Exp05_diag,Exp05dg-vxi_s16,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s1__ATM,Exp05_diag,Exp05dg-kappaxi_s1,ATM,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s1__OTM_K110,Exp05_diag,Exp05dg-kappaxi_s1,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s1__OTM_K125,Exp05_diag,Exp05dg-kappaxi_s1,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s2__ATM,Exp05_diag,Exp05dg-kappaxi_s2,ATM,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s2__OTM_K110,Exp05_diag,Exp05dg-kappaxi_s2,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s2__OTM_K125,Exp05_diag,Exp05dg-kappaxi_s2,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s4__ATM,Exp05_diag,Exp05dg-kappaxi_s4,ATM,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s4__OTM_K110,Exp05_diag,Exp05dg-kappaxi_s4,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s4__OTM_K125,Exp05_diag,Exp05dg-kappaxi_s4,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s8__ATM,Exp05_diag,Exp05dg-kappaxi_s8,ATM,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s8__OTM_K110,Exp05_diag,Exp05dg-kappaxi_s8,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s8__OTM_K125,Exp05_diag,Exp05dg-kappaxi_s8,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s16__ATM,Exp05_diag,Exp05dg-kappaxi_s16,ATM,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s16__OTM_K110,Exp05_diag,Exp05dg-kappaxi_s16,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-kappaxi_s16__OTM_K125,Exp05_diag,Exp05dg-kappaxi_s16,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vrho_s1__ATM,Exp05_diag,Exp05dg-vrho_s1,ATM,150,150,200,200
Exp05_diag__Exp05dg-vrho_s1__OTM_K110,Exp05_diag,Exp05dg-vrho_s1,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vrho_s1__OTM_K125,Exp05_diag,Exp05dg-vrho_s1,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vrho_s2__ATM,Exp05_diag,Exp05dg-vrho_s2,ATM,150,150,200,200
Exp05_diag__Exp05dg-vrho_s2__OTM_K110,Exp05_diag,Exp05dg-vrho_s2,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vrho_s2__OTM_K125,Exp05_diag,Exp05dg-vrho_s2,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vrho_s4__ATM,Exp05_diag,Exp05dg-vrho_s4,ATM,150,150,200,200
Exp05_diag__Exp05dg-vrho_s4__OTM_K110,Exp05_diag,Exp05dg-vrho_s4,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vrho_s4__OTM_K125,Exp05_diag,Exp05dg-vrho_s4,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vrho_s8__ATM,Exp05_diag,Exp05dg-vrho_s8,ATM,150,150,200,200
Exp05_diag__Exp05dg-vrho_s8__OTM_K110,Exp05_diag,Exp05dg-vrho_s8,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vrho_s8__OTM_K125,Exp05_diag,Exp05dg-vrho_s8,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vrho_s16__ATM,Exp05_diag,Exp05dg-vrho_s16,ATM,150,150,200,200
Exp05_diag__Exp05dg-vrho_s16__OTM_K110,Exp05_diag,Exp05dg-vrho_s16,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vrho_s16__OTM_K125,Exp05_diag,Exp05dg-vrho_s16,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-all5_s1__ATM,Exp05_diag,Exp05dg-all5_s1,ATM,150,150,200,200
Exp05_diag__Exp05dg-all5_s1__OTM_K110,Exp05_diag,Exp05dg-all5_s1,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-all5_s1__OTM_K125,Exp05_diag,Exp05dg-all5_s1,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-all5_s2__ATM,Exp05_diag,Exp05dg-all5_s2,ATM,150,150,200,200
Exp05_diag__Exp05dg-all5_s2__OTM_K110,Exp05_diag,Exp05dg-all5_s2,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-all5_s2__OTM_K125,Exp05_diag,Exp05dg-all5_s2,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-all5_s4__ATM,Exp05_diag,Exp05dg-all5_s4,ATM,150,150,200,200
Exp05_diag__Exp05dg-all5_s4__OTM_K110,Exp05_diag,Exp05dg-all5_s4,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-all5_s4__OTM_K125,Exp05_diag,Exp05dg-all5_s4,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-all5_s8__ATM,Exp05_diag,Exp05dg-all5_s8,ATM,150,150,200,200
Exp05_diag__Exp05dg-all5_s8__OTM_K110,Exp05_diag,Exp05dg-all5_s8,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-all5_s8__OTM_K125,Exp05_diag,Exp05dg-all5_s8,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-all5_s16__ATM,Exp05_diag,Exp05dg-all5_s16,ATM,150,150,200,200
Exp05_diag__Exp05dg-all5_s16__OTM_K110,Exp05_diag,Exp05dg-all5_s16,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-all5_s16__OTM_K125,Exp05_diag,Exp05dg-all5_s16,OTM_K125,150,150,200,200
Exp06__Exp06-G1__ATM,Exp06,Exp06-G1,ATM,150,150,200,200
Exp06__Exp06-G1__OTM_K110,Exp06,Exp06-G1,OTM_K110,150,150,200,200
Exp06__Exp06-G1__OTM_K125,Exp06,Exp06-G1,OTM_K125,150,150,200,200
Exp06__Exp06-G2__ATM,Exp06,Exp06-G2,ATM,150,150,200,200
Exp06__Exp06-G2__OTM_K110,Exp06,Exp06-G2,OTM_K110,150,150,200,200
Exp06__Exp06-G2__OTM_K125,Exp06,Exp06-G2,OTM_K125,150,150,200,200
Exp06__Exp06-G3__ATM,Exp06,Exp06-G3,ATM,150,150,200,200
Exp06__Exp06-G3__OTM_K110,Exp06,Exp06-G3,OTM_K110,150,150,200,200
Exp06__Exp06-G3__OTM_K125,Exp06,Exp06-G3,OTM_K125,150,150,200,200
Exp06__Exp06-H1__ATM,Exp06,Exp06-H1,ATM,150,150,200,200
Exp06__Exp06-H1__OTM_K110,Exp06,Exp06-H1,OTM_K110,150,150,200,200
Exp06__Exp06-H1__OTM_K125,Exp06,Exp06-H1,OTM_K125,150,150,200,200
Exp06__Exp06-H2__ATM,Exp06,Exp06-H2,ATM,150,150,200,200
Exp06__Exp06-H2__OTM_K110,Exp06,Exp06-H2,OTM_K110,150,150,200,200
Exp06__Exp06-H2__OTM_K125,Exp06,Exp06-H2,OTM_K125,150,150,200,200
Exp06__Exp06-H3__ATM,Exp06,Exp06-H3,ATM,150,150,200,200
Exp06__Exp06-H3__OTM_K110,Exp06,Exp06-H3,OTM_K110,150,150,200,200
Exp06__Exp06-H3__OTM_K125,Exp06,Exp06-H3,OTM_K125,150,150,200,200
Exp06__Exp06-H4__ATM,Exp06,Exp06-H4,ATM,150,150,200,200
Exp06__Exp06-H4__OTM_K110,Exp06,Exp06-H4,OTM_K110,150,150,200,200
Exp06__Exp06-H4__OTM_K125,Exp06,Exp06-H4,OTM_K125,150,150,200,200
Exp06__Exp06-H5__ATM,Exp06,Exp06-H5,ATM,150,150,200,200
Exp06__Exp06-H5__OTM_K110,Exp06,Exp06-H5,OTM_K110,150,150,200,200
Exp06__Exp06-H5__OTM_K125,Exp06,Exp06-H5,OTM_K125,150,150,200,200
Exp09__Exp09-W1_luna__ATM,Exp09,Exp09-W1_luna,ATM,150,150,200,200
Exp09__Exp09-W1_luna__OTM_K110,Exp09,Exp09-W1_luna,OTM_K110,150,150,200,200
Exp09__Exp09-W1_luna__OTM_K125,Exp09,Exp09-W1_luna,OTM_K125,150,150,200,200
Exp09__Exp09-W2_ftx__ATM,Exp09,Exp09-W2_ftx,ATM,150,150,200,200
Exp09__Exp09-W2_ftx__OTM_K110,Exp09,Exp09-W2_ftx,OTM_K110,150,150,200,200
Exp09__Exp09-W2_ftx__OTM_K125,Exp09,Exp09-W2_ftx,OTM_K125,150,150,200,200
Exp09__Exp09-W3_etf__ATM,Exp09,Exp09-W3_etf,ATM,150,150,200,200
Exp09__Exp09-W3_etf__OTM_K110,Exp09,Exp09-W3_etf,OTM_K110,150,150,200,200
Exp09__Exp09-W3_etf__OTM_K125,Exp09,Exp09-W3_etf,OTM_K125,150,150,200,200
Exp09__Exp09-W4_stab__ATM,Exp09,Exp09-W4_stab,ATM,150,150,200,200
Exp09__Exp09-W4_stab__OTM_K110,Exp09,Exp09-W4_stab,OTM_K110,150,150,200,200
Exp09__Exp09-W4_stab__OTM_K125,Exp09,Exp09-W4_stab,OTM_K125,150,150,200,200
KouAB_stageA__KouA-A__ATM,KouAB_stageA,KouA-A,ATM,24,24,30,30
KouAB_stageA__KouA-A__OTM_K110,KouAB_stageA,KouA-A,OTM_K110,24,24,30,30
KouAB_stageA__KouA-A__OTM_K125,KouAB_stageA,KouA-A,OTM_K125,24,24,30,30
KouAB_stageA__KouA-B__ATM,KouAB_stageA,KouA-B,ATM,24,24,30,30
KouAB_stageA__KouA-B__OTM_K110,KouAB_stageA,KouA-B,OTM_K110,24,24,30,30
KouAB_stageA__KouA-B__OTM_K125,KouAB_stageA,KouA-B,OTM_K125,24,24,30,30
KouAB_stageA__KouA-C__ATM,KouAB_stageA,KouA-C,ATM,24,24,30,30
KouAB_stageA__KouA-C__OTM_K110,KouAB_stageA,KouA-C,OTM_K110,24,24,30,30
KouAB_stageA__KouA-C__OTM_K125,KouAB_stageA,KouA-C,OTM_K125,24,24,30,30
KouAB_stageA__KouA-D__ATM,KouAB_stageA,KouA-D,ATM,24,24,30,30
KouAB_stageA__KouA-D__OTM_K110,KouAB_stageA,KouA-D,OTM_K110,24,24,30,30
KouAB_stageA__KouA-D__OTM_K125,KouAB_stageA,KouA-D,OTM_K125,24,24,30,30
KouAB_stageB__KouB-A__ATM,KouAB_stageB,KouB-A,ATM,150,150,200,200
KouAB_stageB__KouB-A__OTM_K110,KouAB_stageB,KouB-A,OTM_K110,150,150,200,200
KouAB_stageB__KouB-A__OTM_K125,KouAB_stageB,KouB-A,OTM_K125,150,150,200,200
KouAB_stageB__KouB-B__ATM,KouAB_stageB,KouB-B,ATM,150,150,200,200
KouAB_stageB__KouB-B__OTM_K110,KouAB_stageB,KouB-B,OTM_K110,150,150,200,200
KouAB_stageB__KouB-B__OTM_K125,KouAB_stageB,KouB-B,OTM_K125,150,150,200,200
KouAB_stageB__KouB-C__ATM,KouAB_stageB,KouB-C,ATM,150,150,200,200
KouAB_stageB__KouB-C__OTM_K110,KouAB_stageB,KouB-C,OTM_K110,150,150,200,200
KouAB_stageB__KouB-C__OTM_K125,KouAB_stageB,KouB-C,OTM_K125,150,150,200,200
KouAB_stageB__KouB-D__ATM,KouAB_stageB,KouB-D,ATM,150,150,200,200
KouAB_stageB__KouB-D__OTM_K110,KouAB_stageB,KouB-D,OTM_K110,150,150,200,200
KouAB_stageB__KouB-D__OTM_K125,KouAB_stageB,KouB-D,OTM_K125,150,150,200,200
KouBTC__KouBTC-Luna_pre__ATM,KouBTC,KouBTC-Luna_pre,ATM,150,150,200,200
KouBTC__KouBTC-Luna_pre__OTM_K110,KouBTC,KouBTC-Luna_pre,OTM_K110,150,150,200,200
KouBTC__KouBTC-Luna_pre__OTM_K125,KouBTC,KouBTC-Luna_pre,OTM_K125,150,150,200,200
KouBTC__KouBTC-Luna_post__ATM,KouBTC,KouBTC-Luna_post,ATM,150,150,200,200
KouBTC__KouBTC-Luna_post__OTM_K110,KouBTC,KouBTC-Luna_post,OTM_K110,150,150,200,200
KouBTC__KouBTC-Luna_post__OTM_K125,KouBTC,KouBTC-Luna_post,OTM_K125,150,150,200,200
KouBTC__KouBTC-FTX_pre__ATM,KouBTC,KouBTC-FTX_pre,ATM,150,150,200,200
KouBTC__KouBTC-FTX_pre__OTM_K110,KouBTC,KouBTC-FTX_pre,OTM_K110,150,150,200,200
KouBTC__KouBTC-FTX_pre__OTM_K125,KouBTC,KouBTC-FTX_pre,OTM_K125,150,150,200,200
KouBTC__KouBTC-FTX_post__ATM,KouBTC,KouBTC-FTX_post,ATM,150,150,200,200
KouBTC__KouBTC-FTX_post__OTM_K110,KouBTC,KouBTC-FTX_post,OTM_K110,150,150,200,200
KouBTC__KouBTC-FTX_post__OTM_K125,KouBTC,KouBTC-FTX_post,OTM_K125,150,150,200,200
KouBTC__KouBTC-ETF_pre__ATM,KouBTC,KouBTC-ETF_pre,ATM,150,150,200,200
KouBTC__KouBTC-ETF_pre__OTM_K110,KouBTC,KouBTC-ETF_pre,OTM_K110,150,150,200,200
KouBTC__KouBTC-ETF_pre__OTM_K125,KouBTC,KouBTC-ETF_pre,OTM_K125,150,150,200,200
KouBTC__KouBTC-ETF_post__ATM,KouBTC,KouBTC-ETF_post,ATM,150,150,200,200
KouBTC__KouBTC-ETF_post__OTM_K110,KouBTC,KouBTC-ETF_post,OTM_K110,150,150,200,200
KouBTC__KouBTC-ETF_post__OTM_K125,KouBTC,KouBTC-ETF_post,OTM_K125,150,150,200,200
