key,block,config_id,payoff,n_cal,n_test_lo,n_test_hi,n_seeds
Exp03__Exp03-AA-E__OTM_K125,Exp03,Exp03-AA-E,OTM_K125,150,150,200,200
Exp03__Exp03-AB1-A__ATM,Exp03,Exp03-AB1-A,ATM,24,24,30,30
Exp03__Exp03-AB1-A__OTM_K110,Exp03,Exp03-AB1-A,OTM_K110,24,24,30,30
Exp03__Exp03-AB1-A__OTM_K125,Exp03,Exp03-AB1-A,OTM_K125,24,24,30,30
Exp03__Exp03-AB1-B__ATM,Exp03,Exp03-AB1-B,ATM,24,24,30,30
Exp03__Exp03-AB1-B__OTM_K110,Exp03,Exp03-AB1-B,OTM_K110,24,24,30,30
Exp03__Exp03-AB1-B__OTM_K125,Exp03,Exp03-AB1-B,OTM_K125,24,24,30,30
Exp03__Exp03-AB1-C__ATM,Exp03,Exp03-AB1-C,ATM,24,24,30,30
Exp03__Exp03-AB1-C__OTM_K110,Exp03,Exp03-AB1-C,OTM_K110,24,24,30,30
Exp03__Exp03-AB1-C__OTM_K125,Exp03,Exp03-AB1-C,OTM_K125,24,24,30,30
Exp03__Exp03-AB1-D__ATM,Exp03,Exp03-AB1-D,ATM,24,24,30,30
Exp03__Exp03-AB1-D__OTM_K110,Exp03,Exp03-AB1-D,OTM_K110,24,24,30,30
Exp03__Exp03-AB1-D__OTM_K125,Exp03,Exp03-AB1-D,OTM_K125,24,24,30,30
Exp03__Exp03-AB1-E__ATM,Exp03,Exp03-AB1-E,ATM,24,24,30,30
Exp03__Exp03-AB1-E__OTM_K110,Exp03,Exp03-AB1-E,OTM_K110,24,24,30,30
Exp03__Exp03-AB1-E__OTM_K125,Exp03,Exp03-AB1-E,OTM_K125,24,24,30,30
Exp03__Exp03-AB2-A__ATM,Exp03,Exp03-AB2-A,ATM,24,24,30,30
Exp03__Exp03-AB2-A__OTM_K110,Exp03,Exp03-AB2-A,OTM_K110,24,24,30,30
Exp03__Exp03-AB2-A__OTM_K125,Exp03,Exp03-AB2-A,OTM_K125,24,24,30,30
Exp03__Exp03-AB2-B__ATM,Exp03,Exp03-AB2-B,ATM,24,24,30,30
Exp03__Exp03-AB2-B__OTM_K110,Exp03,Exp03-AB2-B,OTM_K110,24,24,30,30
Exp03__Exp03-AB2-B__OTM_K125,Exp03,Exp03-AB2-B,OTM_K125,24,24,30,30
Exp03__Exp03-AB2-C__ATM,Exp03,Exp03-AB2-C,ATM,24,24,30,30
Exp03__Exp03-AB2-C__OTM_K110,Exp03,Exp03-AB2-C,OTM_K110,24,24,30,30
Exp03__Exp03-AB2-C__OTM_K125,Exp03,Exp03-AB2-C,OTM_K125,24,24,30,30
Exp03__Exp03-AB2-D__ATM,Exp03,Exp03-AB2-D,ATM,24,24,30,30
Exp03__Exp03-AB2-D__OTM_K110,Exp03,Exp03-AB2-D,OTM_K110,24,24,30,30
Exp03__Exp03-AB2-D__OTM_K125,Exp03,Exp03-AB2-D,OTM_K125,24,24,30,30
Exp03__Exp03-AB2-E__ATM,Exp03,Exp03-AB2-E,ATM,24,24,30,30
Exp03__Exp03-AB2-E__OTM_K110,Exp03,Exp03-AB2-E,OTM_K110,24,24,30,30
Exp03__Exp03-AB2-E__OTM_K125,Exp03,Exp03-AB2-E,OTM_K125,24,24,30,30
Exp03__Exp03-AB3-A__ATM,Exp03,Exp03-AB3-A,ATM,24,24,30,30
Exp03__Exp03-AB3-A__OTM_K110,Exp03,Exp03-AB3-A,OTM_K110,24,24,30,30
Exp03__Exp03-AB3-A__OTM_K125,Exp03,Exp03-AB3-A,OTM_K125,24,24,30,30
Exp03__Exp03-AB3-B__ATM,Exp03,Exp03-AB3-B,ATM,24,24,30,30
Exp03__Exp03-AB3-B__OTM_K110,Exp03,Exp03-AB3-B,OTM_K110,24,24,30,30
Exp03__Exp03-AB3-B__OTM_K125,Exp03,Exp03-AB3-B,OTM_K125,24,24,30,30
Exp03__Exp03-AB3-C__ATM,Exp03,Exp03-AB3-C,ATM,24,24,30,30
Exp03__Exp03-AB3-C__OTM_K110,Exp03,Exp03-AB3-C,OTM_K110,24,24,30,30
Exp03__Exp03-AB3-C__OTM_K125,Exp03,Exp03-AB3-C,OTM_K125,24,24,30,30
Exp03__Exp03-AB3-D__ATM,Exp03,Exp03-AB3-D,ATM,24,24,30,30
Exp03__Exp03-AB3-D__OTM_K110,Exp03,Exp03-AB3-D,OTM_K110,24,24,30,30
Exp03__Exp03-AB3-D__OTM_K125,Exp03,Exp03-AB3-D,OTM_K125,24,24,30,30
Exp03__Exp03-AB3-E__ATM,Exp03,Exp03-AB3-E,ATM,24,24,30,30
Exp03__Exp03-AB3-E__OTM_K110,Exp03,Exp03-AB3-E,OTM_K110,24,24,30,30
Exp03__Exp03-AB3-E__OTM_K125,Exp03,Exp03-AB3-E,OTM_K125,24,24,30,30
Exp03__Exp03-B1B1-A__ATM,Exp03,Exp03-B1B1-A,ATM,24,24,30,30
Exp03__Exp03-B1B1-A__OTM_K110,Exp03,Exp03-B1B1-A,OTM_K110,24,24,30,30
Exp03__Exp03-B1B1-A__OTM_K125,Exp03,Exp03-B1B1-A,OTM_K125,24,24,30,30
Exp03__Exp03-B1B1-B__ATM,Exp03,Exp03-B1B1-B,ATM,24,24,30,30
Exp03__Exp03-B1B1-B__OTM_K110,Exp03,Exp03-B1B1-B,OTM_K110,24,24,30,30
Exp03__Exp03-B1B1-B__OTM_K125,Exp03,Exp03-B1B1-B,OTM_K125,24,24,30,30
Exp03__Exp03-B1B1-C__ATM,Exp03,Exp03-B1B1-C,ATM,24,24,30,30
Exp03__Exp03-B1B1-C__OTM_K110,Exp03,Exp03-B1B1-C,OTM_K110,24,24,30,30
Exp03__Exp03-B1B1-C__OTM_K125,Exp03,Exp03-B1B1-C,OTM_K125,24,24,30,30
Exp03__Exp03-B1B1-D__ATM,Exp03,Exp03-B1B1-D,ATM,24,24,30,30
Exp03__Exp03-B1B1-D__OTM_K110,Exp03,Exp03-B1B1-D,OTM_K110,24,24,30,30
Exp03__Exp03-B1B1-D__OTM_K125,Exp03,Exp03-B1B1-D,OTM_K125,24,24,30,30
Exp03__Exp03-B1B1-E__ATM,Exp03,Exp03-B1B1-E,ATM,24,24,30,30
Exp03__Exp03-B1B1-E__OTM_K110,Exp03,Exp03-B1B1-E,OTM_K110,24,24,30,30
