model,pair,recovery_K,recovery_A,diff_pp,cond_BtAB,snr2_gstar,snr2_hB,c_norm,tau,lam_max
heston,A,103.0221,92.7381,-10.284,12207237979.29882,151.22285640905784,140.24114894398895,0.032249727733295645,1.3200763562405825e-08,1.3200763562405824e-06
heston,B,105.2739,92.779,-12.4949,11933564376.229378,158.70303412342358,147.24303709032347,0.1614278392860073,3.046365346342689e-07,3.046365346342689e-05
heston,C,105.0633,93.0547,-12.0086,11397672256.496006,171.7677782851512,159.83801103832616,0.32248505055085325,1.0543662044170312e-06,0.00010543662044170311
heston,D,101.4442,93.4266,-8.0176,8629452388.239006,281.8282090070954,263.30256938443404,0.9544507887091481,4.715963414225657e-06,0.0004715963414225657
kou,A,99.176,97.6529,-1.5231,3488203517.38403,42.65919273678051,41.65793466737272,0.033320526943895507,1.6602215334791405e-08,1.6602215334791404e-06
kou,B,99.0195,97.4766,-1.5429,3487327404.375528,46.45581980644915,45.28356631676186,0.16739452503490548,3.7347272578447634e-07,3.734727257844763e-05
kou,C,98.7004,97.2329,-1.4675,3486098647.8967752,54.76229364546621,53.24695924538025,0.3363966710264323,1.2746754276040679e-06,0.00012746754276040677
kou,D,98.9526,95.5336,-3.4189,3483001779.0983887,90.71107542822735,86.65959284929966,1.0178319597833945,6.913426072894402e-06,0.0006913426072894402
