config_key,block,config_id,payoff,model_class,pair,proto_pair,axis,step,diag,scale,window,scenario,clipped,n_cal,n_eval,n_seeds,lambda_1,lambda_2,lambda_status,lambda_source
Exp02__Exp02-A__ATM,Exp02,Exp02-A,ATM,heston,A,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-A__OTM_K110,Exp02,Exp02-A,OTM_K110,heston,A,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-A__OTM_K125,Exp02,Exp02-A,OTM_K125,heston,A,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-B__ATM,Exp02,Exp02-B,ATM,heston,B,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-B__OTM_K110,Exp02,Exp02-B,OTM_K110,heston,B,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-B__OTM_K125,Exp02,Exp02-B,OTM_K125,heston,B,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-C__ATM,Exp02,Exp02-C,ATM,heston,C,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-C__OTM_K110,Exp02,Exp02-C,OTM_K110,heston,C,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-C__OTM_K125,Exp02,Exp02-C,OTM_K125,heston,C,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-D__ATM,Exp02,Exp02-D,ATM,heston,D,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-D__OTM_K110,Exp02,Exp02-D,OTM_K110,heston,D,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-D__OTM_K125,Exp02,Exp02-D,OTM_K125,heston,D,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-E__ATM,Exp02,Exp02-E,ATM,heston,E,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-E__OTM_K110,Exp02,Exp02-E,OTM_K110,heston,E,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-E__OTM_K125,Exp02,Exp02-E,OTM_K125,heston,E,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F1__ATM,Exp02,Exp02-F1,ATM,heston,F1,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1001,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F1__OTM_K110,Exp02,Exp02-F1,OTM_K110,heston,F1,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1001,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F1__OTM_K125,Exp02,Exp02-F1,OTM_K125,heston,F1,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1001,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F2__ATM,Exp02,Exp02-F2,ATM,heston,F2,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1002,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F2__OTM_K110,Exp02,Exp02-F2,OTM_K110,heston,F2,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1002,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F2__OTM_K125,Exp02,Exp02-F2,OTM_K125,heston,F2,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1002,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F3__ATM,Exp02,Exp02-F3,ATM,heston,F3,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1003,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F3__OTM_K110,Exp02,Exp02-F3,OTM_K110,heston,F3,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1003,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F3__OTM_K125,Exp02,Exp02-F3,OTM_K125,heston,F3,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1003,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F4__ATM,Exp02,Exp02-F4,ATM,heston,F4,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1005,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F4__OTM_K110,Exp02,Exp02-F4,OTM_K110,heston,F4,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1005,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F4__OTM_K125,Exp02,Exp02-F4,OTM_K125,heston,F4,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1005,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F5__ATM,Exp02,Exp02-F5,ATM,heston,F5,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1007,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F5__OTM_K110,Exp02,Exp02-F5,OTM_K110,heston,F5,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1007,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-F5__OTM_K125,Exp02,Exp02-F5,OTM_K125,heston,F5,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1007,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-G1__ATM,Exp02,Exp02-G1,ATM,heston,G1,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.005,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-G1__OTM_K110,Exp02,Exp02-G1,OTM_K110,heston,G1,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.005,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-G1__OTM_K125,Exp02,Exp02-G1,OTM_K125,heston,G1,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.005,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-G2__ATM,Exp02,Exp02-G2,ATM,heston,G2,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.495,""v"":0.1,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-G2__OTM_K110,Exp02,Exp02-G2,OTM_K110,heston,G2,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.495,""v"":0.1,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
