config_key,block,config_id,payoff,model_class,pair,proto_pair,axis,step,diag,scale,window,scenario,clipped,n_cal,n_eval,n_seeds,lambda_1,lambda_2,lambda_status,lambda_source
Exp03__Exp03-AA-D__OTM_K125,Exp03,Exp03-AA-D,OTM_K125,heston,D,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AA-E__ATM,Exp03,Exp03-AA-E,ATM,heston,E,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AA-E__OTM_K110,Exp03,Exp03-AA-E,OTM_K110,heston,E,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AA-E__OTM_K125,Exp03,Exp03-AA-E,OTM_K125,heston,E,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-A__ATM,Exp03,Exp03-AB1-A,ATM,heston,A,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-A__OTM_K110,Exp03,Exp03-AB1-A,OTM_K110,heston,A,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-A__OTM_K125,Exp03,Exp03-AB1-A,OTM_K125,heston,A,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-B__ATM,Exp03,Exp03-AB1-B,ATM,heston,B,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-B__OTM_K110,Exp03,Exp03-AB1-B,OTM_K110,heston,B,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-B__OTM_K125,Exp03,Exp03-AB1-B,OTM_K125,heston,B,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-C__ATM,Exp03,Exp03-AB1-C,ATM,heston,C,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-C__OTM_K110,Exp03,Exp03-AB1-C,OTM_K110,heston,C,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-C__OTM_K125,Exp03,Exp03-AB1-C,OTM_K125,heston,C,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-D__ATM,Exp03,Exp03-AB1-D,ATM,heston,D,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-D__OTM_K110,Exp03,Exp03-AB1-D,OTM_K110,heston,D,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-D__OTM_K125,Exp03,Exp03-AB1-D,OTM_K125,heston,D,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-E__ATM,Exp03,Exp03-AB1-E,ATM,heston,E,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-E__OTM_K110,Exp03,Exp03-AB1-E,OTM_K110,heston,E,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB1-E__OTM_K125,Exp03,Exp03-AB1-E,OTM_K125,heston,E,AB1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-A__ATM,Exp03,Exp03-AB2-A,ATM,heston,A,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-A__OTM_K110,Exp03,Exp03-AB2-A,OTM_K110,heston,A,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-A__OTM_K125,Exp03,Exp03-AB2-A,OTM_K125,heston,A,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-B__ATM,Exp03,Exp03-AB2-B,ATM,heston,B,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-B__OTM_K110,Exp03,Exp03-AB2-B,OTM_K110,heston,B,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-B__OTM_K125,Exp03,Exp03-AB2-B,OTM_K125,heston,B,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-C__ATM,Exp03,Exp03-AB2-C,ATM,heston,C,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-C__OTM_K110,Exp03,Exp03-AB2-C,OTM_K110,heston,C,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-C__OTM_K125,Exp03,Exp03-AB2-C,OTM_K125,heston,C,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-D__ATM,Exp03,Exp03-AB2-D,ATM,heston,D,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-D__OTM_K110,Exp03,Exp03-AB2-D,OTM_K110,heston,D,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-D__OTM_K125,Exp03,Exp03-AB2-D,OTM_K125,heston,D,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-E__ATM,Exp03,Exp03-AB2-E,ATM,heston,E,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-E__OTM_K110,Exp03,Exp03-AB2-E,OTM_K110,heston,E,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB2-E__OTM_K125,Exp03,Exp03-AB2-E,OTM_K125,heston,E,AB2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-A__ATM,Exp03,Exp03-AB3-A,ATM,heston,A,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-A__OTM_K110,Exp03,Exp03-AB3-A,OTM_K110,heston,A,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-A__OTM_K125,Exp03,Exp03-AB3-A,OTM_K125,heston,A,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-B__ATM,Exp03,Exp03-AB3-B,ATM,heston,B,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-B__OTM_K110,Exp03,Exp03-AB3-B,OTM_K110,heston,B,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-B__OTM_K125,Exp03,Exp03-AB3-B,OTM_K125,heston,B,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-C__ATM,Exp03,Exp03-AB3-C,ATM,heston,C,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-C__OTM_K110,Exp03,Exp03-AB3-C,OTM_K110,heston,C,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-C__OTM_K125,Exp03,Exp03-AB3-C,OTM_K125,heston,C,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-D__ATM,Exp03,Exp03-AB3-D,ATM,heston,D,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-D__OTM_K110,Exp03,Exp03-AB3-D,OTM_K110,heston,D,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-D__OTM_K125,Exp03,Exp03-AB3-D,OTM_K125,heston,D,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-E__ATM,Exp03,Exp03-AB3-E,ATM,heston,E,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-E__OTM_K110,Exp03,Exp03-AB3-E,OTM_K110,heston,E,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AB3-E__OTM_K125,Exp03,Exp03-AB3-E,OTM_K125,heston,E,AB3,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-A__ATM,Exp03,Exp03-B1B1-A,ATM,heston,A,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-A__OTM_K110,Exp03,Exp03-B1B1-A,OTM_K110,heston,A,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-A__OTM_K125,Exp03,Exp03-B1B1-A,OTM_K125,heston,A,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-B__ATM,Exp03,Exp03-B1B1-B,ATM,heston,B,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-B__OTM_K110,Exp03,Exp03-B1B1-B,OTM_K110,heston,B,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-B__OTM_K125,Exp03,Exp03-B1B1-B,OTM_K125,heston,B,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-C__ATM,Exp03,Exp03-B1B1-C,ATM,heston,C,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-C__OTM_K110,Exp03,Exp03-B1B1-C,OTM_K110,heston,C,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-C__OTM_K125,Exp03,Exp03-B1B1-C,OTM_K125,heston,C,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-D__ATM,Exp03,Exp03-B1B1-D,ATM,heston,D,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-D__OTM_K110,Exp03,Exp03-B1B1-D,OTM_K110,heston,D,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-D__OTM_K125,Exp03,Exp03-B1B1-D,OTM_K125,heston,D,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-E__ATM,Exp03,Exp03-B1B1-E,ATM,heston,E,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-E__OTM_K110,Exp03,Exp03-B1B1-E,OTM_K110,heston,E,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B1B1-E__OTM_K125,Exp03,Exp03-B1B1-E,OTM_K125,heston,E,B1B1,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B2B2-A__ATM,Exp03,Exp03-B2B2-A,ATM,heston,A,B2B2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-B2B2-A__OTM_K110,Exp03,Exp03-B2B2-A,OTM_K110,heston,A,B2B2,,,,,,,,24,6,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
